date,company,category,various_applications,aircraft,location
4/3/15,The City of Roswell Coalition,Education,False,"Aeryon SkyRanger, DJI Spreading Wings S1000",NM
4/3/15,"AeroVironment, Inc.",Manufacturer,False,Puma AE DDL,CA
4/3/15,SenseFly LTD.,Manufacturer,False,"Sensefly eBee, Sensefly eXom",Switzerland 
4/3/15,Avigators,Agriculture,False,First Aerial Responder-Sight,FL
4/3/15,"AeroVironment, Inc.",Manufacturer,False,AeroVironment Puma AE DDL,CA
4/3/15,"First Flight Photography, LLC",Photo/Film,False,"DJI Phantom 2 Vision Plus, DJI Spreading Wings S1000",NY
4/3/15,The Dow Chemical Company,Utilities/Energy/Infrastructure,False,Aeryon SkyRanger,MI
4/3/15,Aviation Unmanned,Utilities/Energy/Infrastructure,False,"Vanguard Defense Industries ShadowHawk, MLB Company Super Bat",TX
4/3/15,Upward Aerial,Photo/Film,False,T600 DJI Inspire 1,CA
4/3/15,"Bechtel Equipment Operations, Inc.",Construction,False,Skycatch,TX
4/3/15,"Mr. Roger W. Meyer, PLS","Agriculture, Government Contracting",False,"SenseFly eBee, Trimble Navigation Limited UX5",MT
4/3/15,"SkyPhilly, Inc.","Utilities/Energy/Infrastructure, Agriculture, Photo/Film",True,"DJI S900, SkyPhilly M1",PA
4/3/15,"Drone Fleet & Aerospace Management, Inc.","Utilities/Energy/Infrastructure, Photo/Film",False,"DJI S1000, DJI Phantom 2, Drone-Fleet Carbon Fiber V5, DJI S800, DJI S1000, Sensefly eBee RTK",CA
4/8/15,United Services Automobile Association,Insurance,False,"PrecisionHawk Lancaster, Aerialtronics Zenith, 3DR Iris +, DJI Phantom 2 Vision, DJI Inspire 1, DJI S900, 3DR Spektre, 3DR Solo, DJI Phantom 3, E-Flite",TX
4/8/15,Sky Shots Aerial Imaging,Photo/Film,False,"DJI P330z, DJI S1000+",VA
4/8/15,Price Aviation Group,"Photo/Film, Other",False,"3DR X8+, PAG X4",MD
4/8/15,"Hawk Aerial, LLC","Utilities/Energy/Infrastructure, Agriculture",False,"Multirotor G4 Eagle, DJI Phantom 2, Altavian Nova F6500, Altavian R8400, DJI Phantom 3",NM
4/8/15,Flying Cross Aerial Productions,Photo/Film,False,"DJI Phantom 2, DJI S1000",TX
4/8/15,Auburn University Aviation Center,Education,False,DJI Phantom 2 Vision+,AL
4/8/15,"TradeCraft, LLC",Agriculture,False,DJI Inspire 1,AL
4/8/15,M&G Enterprises,"Utilities/Energy/Infrastructure, Agriculture",False,DJI Phantom 2,TN
4/8/15,Gulf Coast Unmanned Aerial Services LLC,"Agriculture, Education",False,"DJI Phantom, DJI Inspire",LA
4/8/15,Extreme Media Productions,"Utilities/Energy/Infrastructure, Real Estate, Photo/Film",True,DJI Phantom 2 Vision+,SC
4/8/15,Sevee Maher Engineers Inc.,Construction,False,Atlantic RC Aircraft LC 047,ME
4/8/15,Charles J Lesowske,Real Estate,False,DJI Phantom FC40,OR
4/8/15,Idaho Forest Group,Other-Logging,False,Skycatch,ID
4/8/15,Erie Insurance Group,Insurance,False,"DJI Phantom 2, DJI Phantom 3 Professional, DJI Phantom 3 Advanced",PA
4/8/15,Cherokee UAS LLC,"Utilities/Energy/Infrastructure, Agriculture, Government Contracting, Conservation, Emergency Services",True,Altavian Nova F6500 Block III,NM
4/8/15,"Altavian, Inc.",Manufacturer,False,Altavian Nova F6500,FL
4/8/15,Bird's Eye Solutions LLC,Photo/Film,False,DJI Phantom 2,WI
4/8/15,"Toledo Aerial Media, LLLC","Photo/Film, Agriculture, Real Estate, Construction, Conservation",True,"DJI Phantom 2 Vision+, DJI Inspire 1",OH
4/8/15,Unmanned Systems Inc.,Photo/Film,False,"Multirotor G4 7.8 Skycrane, modified Flame Wheel F-450 quadcopter, Tarrot 900 hexacopter",NV
4/8/15,Balfour Beatty Construction Services,Construction,False,Skycatch,CA
4/8/15,"Chustz Surveying, Inc.","Utilities/Energy/Infrastructure, Agriculture",False,SenseFly eBee,LA
4/8/15,Amazon.com,"Manufacturer, Scientific Studies",False,Amazon manufactured multi-rotor small UAS,WA
4/8/15,Aerial Media Systems,Photo/Film,False,"DJI Phantom 2 Vision+, DJI Inspire 1, DJI S900,d RF-70",NJ
4/8/15,"Sydor Aerial Photography, LLC",Photo/Film,False,"DJI Phantom 2 Vision, DJI Phantom 2 Vision Plus, DJI Inspire 1, DJI Phantom 3 (Amended: 8/17/15)",IN
4/8/15,"RoboFlight Systems, LLC","Agriculture, Education, Real Estate",False,"DJI Phantom 2 Vision+, DJI Inspire 1, DJI S900, RF-70",IA
4/8/15,"Arch Aerial, LLC","Agriculture, Photo/Film, Utilities/Energy/Infrastructure, Agriculture",True,Arch Aerial OCTO,TX
4/8/15,Down East Emergency Medicine Institute,Emergency Services,False,"VK-FF-X4 Multirotor, VK-Ranger EX-SAR Fixed Wing",ME
