Date ,Company,Category,Aircraft,Location,Description,
4/3/15,"CineDrones, LLC",Photo/Film,"DJI S900, DJI S1000, DJI Inspire 1",FL,Aerial photography.,
4/3/15,"Perfect View Aerial Media, LLC","Utilities/Energy/Infrastructure, Real Estate",DJI S1000,FL,Thermal and photographic inspection of power infrastructure.,
4/3/15,"Advanced Aerial Inspection Resources, LLC",Utilities/Energy/Infrastructure,ASCTEC Falcon 8,TX,Structural and conditional assessment of monopoles and towers.,
4/3/15,Danis Building Construction Company,Construction,DJI Phantom Vision 2+,OH,Aerial inspections on construction sites.,
4/3/15,"Nixon Engineering Solutions, LLC",Utilities/Energy/Infrastructure,DJI S800 EVO,LA,"Aerial inspection and photogrammetry services for mining, gas and oil industry.",
4/3/15,"AirRaid Aerials, LLC","Utilities/Energy/Infrastructure, Photo/Film","CineStar 8, DJI Inspire 1 and Gryphon Dynamics X8 ",NC,"Flare stack inspection, utility-power generation system inspections and patrolling, pipeline inspection and patrolling, filmmaking, cinematography, and videography, precision agriculture, wildlife and forestry monitoring, aerial surveying, construction site inspection and monitoring, and public entity support, closed-set motion picture and television filming. (Amended 7/15)",
4/3/15,United Services Automobile Association,Insurance,PrecisionHawk Lancaster HawkEye,TX,Research and development.,
4/3/15,"AIG PC Global Services, Inc.",Insurance,"Hawkeye Lancaster MK-III, 3DR IRIS+, DJI Phantom 2 Vision, SenseFly eBee",NY,Research and development.,
4/3/15,"Marek Management, Inc.",Utilities/Energy/Infrastructure,SkyWard 1,FL,"Mapping services and sensor deployment for the mining, agriculture, and mineral exploration industries.",
4/3/15,Monterey Drone,"Photo/Film, Real Estate, Agriculture, Utilities/Energy/Infrastructure",DJI Phantom 2,CA,"Commercial application for produce field management, real estate and marketing purposes, electrical engineering inspections, and live sporting events.",
4/3/15,Elevated Perspective Media,Photo/Film,"Aervonics Sky Jib, Vulcan, DJI S1000, Xfoldrig",RI,Aerial cinematography and filming on closed sets. (Amended: 7/23/15),
4/3/15,"Hawaii AirVision, LLC",Photo/Film,DJI S1000,HI,"Aerial videography and photography for the motion picture, television, and commercial industry for closed set filming.",
4/3/15,"HUVRData, LLC","Utilities/Energy/Infrastructure, Agriculture",AscTec (Ascending Technologies) Falcon 8,TX,"Aerial imaging for wind farm survey, solar farm survey, inspection of industrial infrastructure including electrical towers, flare stacks and pipelines, and precision agriculture.",
4/3/15,"ETAK Systems, Inc.",Utilities/Energy/Infrastructure,"DJI Phantom 2, DJI Phantom 2 Vision +, DJI Phantom 3 ",NC,Cellular tower and compound surveys for wireless providers. (Amended 6/3/15),
4/3/15,Darling Geomatics,"Utilities/Energy/Infrastructure, Agriculture",SenseFly eBee,AZ,Mapping and surveying for 3D modeling.,
4/3/15,The City of Roswell Coalition,Education,"Aeryon SkyRanger, DJI Spreading Wings S1000 (Amended 8/18/2015)",NM,"Research, development and validation of a formal UAS training curriculum.",
4/3/15,"AeroVironment, Inc.",Manufacturer,Puma AE DDL,CA,"Agriculture, aerial survey, and patrol operations.",
4/3/15,SenseFly LTD.,Manufacturer,"Sensefly eBee, Sensefly eXom",Switzerland ,Mapping and precision agriculture. (Amended: 7/23/15),
4/3/15,Avigators,Agriculture,First Aerial Responder‰ÛÒSight,FL,Precision agriculture operations.,
4/3/15,"AeroVironment, Inc.",Manufacturer,AeroVironment Puma AE DDL,CA,"Agriculture, aerial survey, and patrol operations.",
4/3/15,"First Flight Photography, LLC",Photo/Film,"DJI Phantom 2 Vision Plus, DJI Spreading Wings S1000",NY,Aerial photography.,
4/3/15,The Dow Chemical Company,Utilities/Energy/Infrastructure,Aeryon SkyRanger,MI,"Aerial inspection and environmental monitoring of chemical plant production, transmission and storage facilities.",
4/3/15,Aviation Unmanned,Utilities/Energy/Infrastructure,"Vanguard Defense Industries ShadowHawk, MLB Company Super Bat",TX,Power line inspections.,
4/3/15,Upward Aerial,Photo/Film,T600 DJI Inspire 1,CA,"Aerial photography and videography for closed-set motion picture, television and commercial videography.",
4/3/15,"Bechtel Equipment Operations, Inc.",Construction,Skycatch,TX,"Aerial imaging in construction operations, to inspect hard to get to areas that otherwise would require worker inspection.",
4/3/15,"Mr. Roger W. Meyer, PLS","Agriculture, Government Contracting","SenseFly eBee, Trimble Navigation Limited UX5",MT,"Land surveying operations enhance its existing surveying and mapping services, including but not limited to imaging for precision agriculture applications, digital terrain modeling, infrastructure reconnaissance and inventory with GIS applications for private, local, state and federal entities, riparian boundaries of state and federal owned lands associated with navigable rivers.",
4/3/15,"SkyPhilly, Inc.","Utilities/Energy/Infrastructure, Agriculture, Photo/Film","DJI S900, SkyPhilly M1",PA,"Aerial surveying, remote sensing, telecommunications, agriculture, aerial filmmaking and photography, energy systems inspections and asset management, construction site inspections and monitoring, wildlife and forestry monitoring, educational and research operations, and pipeline inspection and patrolling, closed-set motion picture and television filming. (7/21/2015)",
4/3/15,"Drone Fleet & Aerospace Management, Inc.","Utilities/Energy/Infrastructure, Photo/Film","DJI S1000, DJI Phantom 2, Drone‰ÛêFleet Carbon Fiber V5, DJI S800, DJI S1000, Sensefly eBee RTK",CA,"Evaluation and analysis of infrastructure inspections and operations, closed-set motion picture and television filming. (Amended 6/23/15)",
4/8/15,United Services Automobile Association,Insurance,"PrecisionHawk Lancaster, Aerialtronics Zenith, 3DR Iris +, DJI Phantom 2 Vision, DJI Inspire 1, DJI S900, 3DR Spektre, 3DR Solo, DJI Phantom 3, E-Flite",TX,Disaster and catastrophe events to assist members and communities. (Amended: 7/20/15) (Amended: 7/23/15),
4/8/15,Sky Shots Aerial Imaging,Photo/Film,"DJI P330z, DJI S1000+",VA,Motion picture and television operations.,
4/8/15,Price Aviation Group,"Photo/Film, Other-Legal","3DR X8+, PAG X4",MD,Aerial photography and inspection. (Amended 7/21/2015),
4/8/15,"Hawk Aerial, LLC","Utilities/Energy/Infrastructure, Agriculture","Multirotor G4 Eagle, DJI Phantom 2, Altavian Nova F6500, Altavian R8400, DJI Phantom 3",NM,"Photogrammetry, inspections and analyses. (Amended 6/3/15)",
4/8/15,Flying Cross Aerial Productions,Photo/Film,"DJI Phantom 2, DJI S1000",TX,Aerial photography and filming.,
4/8/15,Auburn University Aviation Center,Education,DJI Phantom 2 Vision +,AL,Courses to instruct students in the operation of UAS.,
4/8/15,"TradeCraft, LLC",Agriculture,DJI Inspire 1,AL,"Agriculture, aerial surveying, imagery operations.",
4/8/15,M&G Enterprises,"Utilities/Energy/Infrastructure, Agriculture",DJI Phantom 2,TN,"Video filming and photography; inspection of land, residential, commercial and industrial structures and property; training.",
4/8/15,Gulf Coast Unmanned Aerial Services LLC,"Agriculture, Education","DJI Phantom, DJI Inspire",LA,Aerial photography and videography for agricultural inspections and flight training.,
