Date ,Company,Category,Aircraft,Location,Description,
7/15/15,Jake Coon,Real Estate,DJI Phantom 3,UT,Aerial photography and videography of real property.,
7/15/15,Atlanta Marketing Professionals,"Real Estate, Utility/Energy/Infrastructure",DJI Inspire 1,GA,"Aerial surveys, photography, videography, and inspections.",
7/15/15,Halo Aviation LLC,Education,Blade 350QX,OR,Aeronautical education and aviation resources and training to public and private schools.,
7/15/15,Vid Flight,"Real Estate, Construction, Education, Utilities/Energy/Infrastructure",DJI Phantom 2,TX,"Aerial videography and photography for real estate, construction sites, land surveying, location historical documentation, infrastructure inspections, athletic field marketing and maintenance.",
7/15/15,AerOpitx LLC,"Utilities/Energy/Infrastructure, Real Estate, Construction, Conservation, Photo/Film","DJI Phantom 2 Vision+, DJI Phantom 3, DJI Inspire 1",IN,"Enable commercial interests within industries related to real estate, marketing, surveying, aerial photography/videography, construction sight monitoring, pipeline surveying and inspection, Law Enforcement investigations, emergency services site management in cases of natural and manmade disasters as well as search and rescue, environmental monitoring, power lines, communications towers, wind turbines, and surveying tasks such as precision agriculture, mining, transportation, and forestry.",
7/15/15,Victor Viglianti,Photo/Film,"DJI Phantom 2, DJI Inspire 1, DJI Phantom 3",FL,Aerial photography and videography.,
7/15/15,Shore Aerial Aviation Services LLC dba Shore Aerial Photography,"Utilities/Energy/Infrastructure, Real Estate, Construction",DJI S-900,NJ,"Commercial construction companies, land developers, real estate agents, marinas, solar farms and owners of cellular facility telephone towers.",
7/15/15,Scott D Steppe,"Photo/Film, Real Estate","DJI Phantom 2 Vision+, DJI Inspire 1",IL,"Utilization for visual inspection of equipment and buildings, video for real estate assessments, wedding and special Events, coverage of sporting events.",
7/15/15,Joseph Barbre,Real Estate,DJI Phantom 2 Vision+,FL,"Aerial photography and videography for homeowners, realtors, home builders, home contractors, and/or home inspectors for real estate marketing and inspections of home for sale. ",
7/15/15,Michael Racz,Photo/Film,"DJI Phantom 2 Vision+, DJI Phantom 3",PA,"Video filming and photography by air for private purposes such as cinematography, advertising, and/or promotions.  Aerial mapping and photogrammetry to collect data for engineering, land survey and development.",
7/15/15,Feather Light Media LLC,"Photo/Film, Government Contracting, Agriculture",DJI Inspire 1,CA,"Aerial event filming and photography, promotional videos for businesses, non-profits & government entities, agricultural surveys and environmental monitoring, civil engineering inspection and documentation.",
7/15/15,Robert P Woolverton,Real Estate,DJI Phantom2 Vision+,WA,Record low altitude video of residential real estate to supplement real estate listing videos he creates for his wife‰Ûªs business who is a real estate broker.,
7/15/15,Silverhawk LLC dba Silverhawk Aerial Imaging,Utilities/Energy/Infrastructure,"DJI Phantom 2 Vision, DJI Inspire 1",UT,"Commercial and industrial aerial imaging, aerial surveying for data collection, aerial photogrammetry, inspection and analysis; and tower and structure inspections.",
7/17/15,"UA TacSolutions, LLC","Emergency Services, Government Contracting, Agriculture, Utilities/Energy/Infrastructure","Aerialtronics Altura Zenith ATX8, CyberQuad Maxi",TX,"Demonstrating the capabilities of the UA to potential customers, and test flying customers‰Ûª UA after TacSolutions performs servicing or inspection operations on the UA.",
7/17/15,Joseph Busalacchi,"Real Estate, Construction, Agriculture, Scientific Studies, Emergency Services","DJI S-1000, 3D Robotics Aero-M, X8-M, Zeta Science FX79, 3D Robotics Y6",FL,"Aerial photography for real estate, architecture, land surveying, engineering, precision agriculture and collection of scientific data in support of research, conservation and humanitarian concerns, search and rescue, training.",
7/17/15,"SDHS, Inc. dba San Diego Home Sales",Real Estate,TBS Discovery Pro,CA,Aerial imaging and video of San Diego Landmarks and real estate.,
7/17/15,"Crossview Concepts Corporation, Inc.","Utilities/Energy/Infrastructure, Photo/Film, Agriculture, Government Contracting","DJI Inspire 1, DJI Spreading Wings S1000, DJI Phantom 2, DJI Phantom 3, Aeryon Sky Ranger, 3D Robotics X8-M",CA,"Aerial search and rescue operational support, infrastructure inspection, agricultural monitoring and support, industrial refinery and manufacturer plant inspection, accident/Incident survey and investigative support, flare stack inspection, private security monitoring, utility-power generation system inspections and patrolling, pipeline inspection and patrolling, filmmaking, cinematography, and videography, wildlife and forestry monitoring, aerial surveying and mapping, construction site inspection and monitoring, public entity support operations, maritime aerial operations, reality and wedding videography and imagery, sUAS consulting.",
7/17/15,"Zugunruhe Geo, LLC","Real Estate, Agriculture, Emegency Services, Scientific Studies","3D Robotics Aero-M, Zeta Science FX79, 3D Robotics Y6, DJI S1000+",FL,"Aerial photography and/or video for public and/or private use including real estate, architecture, land surveying, engineering, precision agriculture and collection of scientific data in support of research, conservation and humanitarian concerns; aerial inspection/photography of residential/commercial structures under contract with the owners or local government authority; aerial video/photography or providing live video feed to assist with search and rescue operations in cases of an emergency or natural disaster only when the local authorities or government has requested it by contract or donation, the ability to offer training on the technological and methodological aspects of aerial data capture to individuals from public or private organizations.",
7/17/15,"Unmanned Experts, Inc",Photo/Film,"DJI S800 EVO, DJI Phantom 2, DJI Inspire, Tarsier Systems MoAC, GerMAP G180, AscTec Falcon 8",CO,"Aerial videography and photography, inspections, and analyses.",
7/17/15,Alan Updyke,"Real Estate, Construction, Insurance",Parrot BeBop ,PA,"Inspections of roofs for real estate, insurance, construction.",
7/17/15,Jackie E. Watson,"Photo/Film, Real Estate, Emergency Services","DJI Inspire 1 ‰ÛÒ T600, Yuneec Typhoon ‰ÛÒ Q500, Walkera Scout-X4, Turbo Ace Matrix-S",FL,"Aerial photography an videography for real estate, architectures, land surveying, engineering, television, public events, cinematography, search and rescue, training.",
7/17/15,"AUV, LLC",Utilities/Energy/Infrastructure,"AirRobot AR200, AirRobot AR180, AirRobot AR100, Steadidrone Mavrik, 3D Robotics Solo",AZ,"Infrastructure inspection in include bridges, building, towers, flare stacks, tunnels, wind turbines, and solar panels",
7/17/15,"Falcon Aerobotics, LLC","Real Estate, Emergency Services, Agriculture","Bixler 2, Bumblebee",AZ,"Aerial videography/cinematography to enhance academic community awareness for individuals and companies unfamiliar with the geographical layout of the metro Tucson and surrounding areas; augmentation of real estate listing videos; and the creation of visual and topography layout videos for Search and Rescue (SAR) missions for state and local agency‰Ûªs, education, agricultural inspections and building and construction zone inspections.",
7/17/15,"Birds Eye Productions, LLC","Real Estate, Emergency Services","Syndrones X8, Ritewing Fixed Wing",AZ,"Aerial videography and cinematography, augment real estate listings videos, and search and rescue missions.",
7/17/15,Air-X Solutions,Photo/Film,Air‰öÕX UAS,VT,"Aerial photography, cinematography, data collection, and UAS pilot training.",
7/17/15,"Elite Aerial Images, Co","Agriculture, Photo/Film, Insurance, Construction",DJI Phantom 2,PA,Surveying and 3D aerial mapping; agriculture crop assessment and growth patterns; golf course management; insurance company claim assessment; special events; construction site; and ecological impact assessment.,
7/20/15,"Reel Reverie MediaWorks, Inc.",Photo/Film,"DJI Phantom 2, DJI Phantom 3, DJI Inspire 1, DJI Inspire 2, DJI S1000+, Tayzu Robotics Titan X8",TX,"Closed-set filming of motion pictures, music videos, web videos, corporate videos, television programs and commercials, wedding and entertainment venue videos, and still photography.",
7/20/15,Gravityshots.com,"Photo/Film, Construction, Agriculture, Real Estate ","FreeFly CineStar 8, FreeFly CineStar 6, DJI Inspire 1",MT,"Operations in the film industry, TV productions, real estate photography and video, surveying for development, agriculture inspection, and aerial mapping.",
7/20/15,"Farm Crisp Holdings, Inc.",Agriculture,"UAV Solutions, Inc. Phoenix 60, Phoenix 60LE, Talon 120LE, DJI Spreading Wings S900",PA,Precision agriculture operations.,
7/20/15,"Persistence Mining, Inc",Utilities/Energy/Infrastructure, ARMDS,CA,Geological surveys.,
7/20/15,Identified Technologies Corporation,Utilities/Energy/Infrastructure,3D Robotics PixHawk,PA,Precision aerial surveys and imaging of civil engineering project sites.,
7/20/15,"RC Aerial Cam, LLC",Photo/Film,"TREX 800E DFC PRO, DJI S1000, DJI Phantom 2",ID,HD feature film quality aerial cinematography.,
7/20/15,"Remote Pilot Solutions, LLC","Real Estate, Agriculture, Photo/Film","Agriview VK Ranger EX, VikingUAS-Viking One, VikingUAS Patriot X4/X8, VikingUAS FF-X4/X8",WI,"Aerial photography and 3D mapping for the agricultural industry, to provide real estate listing videos and photography, inspection of facilities, and enhanced marketing video photography.",
7/20/15,Stephen White,Photo/Film,"RCTimer, Cinestar, DJI Inspire 1",MT,Aerial photography and videography of property.,
7/20/15,"Rees Aerials, LLC",Photo/Film,"DJI Phantom 2 Vision +, DJI Inspire 1",WA,"Aerial photography/Inspection of over land, water‰Ûêways, and oceans; operation over/in non‰Ûêrestricted National Parks, National Forests, flight in non‰Ûê navigable airspace, using non‰Ûêintrusive recording devices, operation in otherwise unrestricted U.S. States/Territories",
7/20/15,Leptron Industrial Robotic Helicopters,"Manufacturer, Government Contracting","Leptron Avenger, RDASS",CO,Developing highly accurate aerial maps for various Government clients utilizing multiple applications.,
7/20/15,Robert Dreer,"Photo/Film, Utilities/Energy/Infrastructure, Agriculture, Scientific Studies","3D Robotics IRIS+, X8-M, Aero‰öÕM",MI,"Photography, videography, inspection of infrastructure, surveying, mapping and photogrammetry, precision agriculture, and scientific and environmental research.",
7/20/15,Indiana Aerial Solutions LLC,Agriculture,Precision Drone Pacesetter,IN,Precision photogrammetry and crop scouting at the resolutions necessary for precision agriculture.,
7/20/15,"Lewis Realty Associates, Inc","Photo/Film, Real Estate, Manufacturer",Lewis Realty Associates Hexacopter 650,NC,"Provide photos and videos of real estate listings offered for rental and sale, photos and videos used to promote tourism.",
7/20/15,"iCam Copters, LLC",Photo/Film,"GT80X, DJI Inspire 1",,Filming movies and commercials in rural natural areas.,
7/21/15,"Helios Imaging, Inc","Photo/Film, Construction, Manufacturer",Helios 960,,Scripted closed-set filming and construction inspections.,
7/21/15,Duke Energy Business Services,Utilities/Energy/Infrastructure,"DJI Inspire, DJI S1000, 3DRobotics X8+, AeroVironment Shrike, Aerovironment Puma, UAV Solutions Phoenix 60, Lockheed Martin Indago, SenseFly eBee, SenseFly eXom, Draganflyer X4ES, Draganflyer X6, Draganflyer Guardian, Aeyron Skyranger, Aerialtronics Zenith ATX8, Blade 350 QX3",,"Operations in connection with the construction, operation, repair and maintenance of utility infrastructure, including monitoring, inspections, and damage assessments of transmission and distribution lines, vegetation, coal ash ponds, boilers, stacks, absorbers, and solar arrays, all of which are presently conducted by manned aerial or ground-based methods.",
7/21/15,"X-Cam Aerial Solutions, Inc","Agriculture, Utilities/Energy/Infrastructure","Viking UAS VK-450, Viking UAS Multicopter, Viking UAS Patriot X4/X8",ME,"Agricultural 3D mapping service operations, oil and gas exploration and pipeline inspection.",
7/21/15,Franklin W. Olin College of Engineering,Scientific Studies,"3DRobotics Iris+, Hobbyking Bixler",MA,"Investigating the ability to locate an ‰ÛÏinteresting phenomenon,‰Ûù such as a wild animal, a forest fire, stressed plants, etc. and dispatch a small UAS/UAV to collect detailed information about the location and size of the phenomenon.",
7/21/15,CopelandRED LLC,Photo/Film,"FreeFly Systems Alta, Cinestar: Octocopter, Hexacopter, Quadcopter; CopelandRED LLC Delta Wing Aircraft",WA,"Aerial photography for the use in public periodicals, motion picture and television industry for controlled and closed set filming.",
7/21/15,"Top Intel Advanced Aerial Imaging, Inc","Agriculture, Photo/Film","DJI Phantom 2 Vision Plus, DJI S-900, RoboFlight RF-70",IA,"Data capture for agricultural surveying, sUAS operator training, real estate photography, product demonstrations, and research and development.",`
7/21/15,"XWorks, Corporation","Photo/Film, Manufacturer",XWORKS X-81,OK,"Market research, aerial surveys, mapping, and inspections that consist of still photographs, video, and other data taken by onboard sensors.",
7/21/15,"Seminole Club, Inc., DBA: Tower Specs",Utilities/Energy/Infrastructure,CarbonCore Octocopter 1000,FL,Cell phone and antenna tower inspections.,
7/21/15,"Agribotix, LLC",Agriculture,"Agribotix Hornet Drone, Agribotix Enduro Quad",CO,"Operations and development of new UAS, and advanced imaging and analysis for precision agriculture services.",
7/21/15,Innovative Ventures,"Conservation, Utilities/Energy/Infrastructure","DJI Phantom 2, Turbo Ace Matrix",LA,"Exploration, usage, and management of land and mineral rights.",
7/21/15,"SwingPointMedia, Inc",Photo/Film,DJI Inspire 1,CA,Aerial photography for the motion picture and television industry for scripted closed set filming.,
7/22/15,"Lone Star Sky Solutions, LLC","Education, Photo/Film","e 3D Robotics X8+, SenseFly eBee",TN,"Aerial photography, video, and surveying to the general public, and free education and training to youth, high-school, and undergraduates in there freshman or sophomore year.",
7/22/15, InterMedia Development Corp d/b/a AERO,"Photo/Film, Utilities/Energy/Infrastructure, Emergency Services","DJI Phantom, DJI S800, DJI S900, DJI S1000, Arris hexacopter, Tarot quadcopter",VA,"Aerial cinematography services, news gathering services, aerial sensor data collection, aerial surveying and photogrammetry, aerial communications services (Wi-fi hotspot, FM radio transmission, VHF radio repeater, cellular), and airborne emergency services support (reconnaissance and communications).",
7/22/15,"Unmanned Ad-Hoc Industries, Inc",Photo/Film,High Endurance Folding Frame (HEFF),TX,Aerial photography and videography.,
7/22/15,ME Drone Video LLC,Photo/Film,"DJI Phantom 2 Vision, Parrot PF 725100 Bebop Drone 14MP",AL,Aerial videography.,
7/22/15,"AgriImage, LLC",Agriculture,"AgScout, AgScout Mini",TN,"Aerial surveys of agricultural areas (including but not limited to farm fields), using a variety of sensors and technologies (including but not limited to infrared photography, thermal imagery, optical zoom camera, photogrammetry, and high resolution imagery) to collect data to make more informed decisions.",
7/22/15,"KADOO AERIAL, LLC","Utilities/Energy/Infrastructure, Photo/Film, Real Estate, Government Contracting",X‰ÛêUAV Skysurfer MAX,MO,"Routine inspections of Power Electric Utility insulators, Right‰Ûêof‰ÛêWay inspections for Electric Power Utility and Natural and/or Gas petroleum pipeline inspection, power sub‰Ûêstation inspections, Natural Gas pump station inspection, Crop and Agricultural monitoring, aerial photography and/or video for public and/or private use including real estate, architecture, land surveying, engineering and other related professional activities, aerial video and/or photography for public and/or private use including television, public events, cinematography and news gathering, aerial inspection/photography of residential/commercial structures under contract with the owners or local government authority, aerial inspection/photography of residential/commercial utility infrastructure including but not limited to electrical power lines, wind turbines and cell towers with help of F.L.I.R. (Forward Looking Infrared Camera) cameras, aerial video/photography or providing live video feed to assist with search and rescue operations in cases of an emergency or natural disaster only when the local authorities or government has requested.",
7/22/15,"Wingnut Aerial Imaging, LLC","Photo/Film, Real Estate, Agriculture","DJI S1000+, DJI Phantom 2, Roboflight RF-70",MN,"Aerial photography for: Real Estate, photography and video of fixed structures, NDVI and Lidar imagery of crops, photography from perspectives not otherwise obtainable.",
7/22/15,"APRIZ, Inc","Agriculture, Utilities/Energy/Infrastructure, Real Estate, Government Contracting","DJI Phantom 2 Vision Plus, DJI Inspire 1, DJI S-900, RF-70",IL,"Precision agriculture aerial surveying, pipeline inspection and patrolling, utility-power generation system inspections and patrolling, communications infrastructure inspection/monitoring, wildlife and forestry monitoring, construction site inspection and monitoring, public entity support operations, real estate photography.",
7/22/15,"UAV Solutions, Inc",Manufacturer,Phoenix 60,MD,Aerial data collection.,
7/22/15,"UAV Solutions, Inc",Manufacturer,Phoenix 30,MD,Aerial data collection.,
7/22/15,Dana Robert Mailloux,"Photo/Film, Construction, Real Estate","DJI CCO w/Wkm M, HH Blade 350QX AP",ID,"Aerial video and photography of construction sites, real estate and landscape over certain areas of the United States.",
7/23/15,"Elevated Element, LLC","Agriculture, Real Estate, Utilities/Energy/Infrastructure, Construction","DJI Inspire 1, DJI Phantom 2, 3DR IRIS+, 3DR X8+, 3DR Solo",MD,"Aerial Mapping in the Agriculture, Construction, Aggregate and Asphalt industries. Building and infrastructure inspections including, but not limited to, bridges, towers, solar farms, pipelines and power lines. Commercial video production for the advertising, marketing and real estate industries.",
7/23/15,Stephen J Tyler,"Photo/Film, Education, Emergency Services","DJI Phantom 2 Vision+, DJI Inspire 1",OK,"Aerial video and photography operations is to provide high quality imaging for a variety of commercial, public, and residential uses.",
7/23/15,Barton Ventures Inc,"Real Estate, Construction, Photo/Film",DJI Phantom 2 Vision+,VA,"Aerial video and photography of construction sites, real estate property, film sets and natural landscapes in the United States.",
7/23/15,Rise Above Images LLC,"Real Estate, Construction",DJI Phantom II Vision+,OH,Aerial videography and photography in the real estate and construction markets of the Greater Cincinnati Region.,
7/23/15,Ericsson Caribbean Inc,Utilities/Energy/Infrastructure,DJI Phantom 2 Vision+,PR,Aerial photography and visual surveys for various data and telecommunication projects and installations as part of its service delivery to mobile telecommunication operators.,
7/23/15,Zachary Z Truempy,Photo/Film,DJI Phantom 3,NJ,"Aerial photography, cinematography, and videography.",
7/23/15,Deans Consulting,"Real Estate, Construction",DJI Phantom II Vision+,TX,Aerial videography and photography.,
7/23/15,Sky Pro Imaging LLC,Photo/Film,"DJI S1000+, DJI Inspire 1, DJI Phantom 2",FL,Closed-set filming and aerial photography.,
7/23/15,Straight Up Imaging LLC,"Photo/Film, Agriculture, Utilities/Energy/Infrastructure, Government Contracting",3D Robotics X8,CA,"Filmmaking, cinematography, photography, videography, precision agriculture, monitoring, surveying, inspections, and public entity support operations.",
7/23/15,Richard L Knight Jr,Photo/Film,DJI Phantom 3,SC,"Aerial photography, cinematography, and videography.",
7/23/15,Todd Warr,"Real Estate, Photo/Film",Yuneec Q500,VA,"Aerial imaging, videography, surveying, and inspections.",
7/23/15,Pro Image Aerial LLC,"Utilities/Energy/Infrastructure, Conservation, Construction, Real Estate",3DRobotics Iris+,NY,"Aerial surveying, photography, inspections, monitoring, and patrolling.",
7/23/15,Pikes Peak Aerial LLC,"Agriculture, Real Estate, Photo/Film, Emergency Services, Utilities/Energy/Infrastructure","DJI S900, DJI Inspire 1, DJI F550, Tarot 690",CO,"Aerial surveying, mapping, photography, videography, filmmaking, inspections, monitoring, training, surveillance, and search and rescue operations.",
7/24/15,Enda Cusack,Real Estate,DJI Inspire 1,CT,Aerial photography and videography of real property.,
7/24/15,Due North Productions Inc.,"Utilities/Energy/Infrastructure, Photo/Film, Agriculture, Construction",DJI Flamewheel 450,CA,"Solar roof top inspections. Utility-power generation system inspections and patrolling. Pipeline inspection and patrolling. Filmmaking, cinematography, and videography. Precision agriculture. Wildlife and forestry monitoring. Aerial surveying. Construction site inspection and monitoring.",
7/24/15,Central Oregon Aerial Surveying,"Conservation, Scientific Studies, Photo/Film",Yuneec Typhoon Q500,OR,Wildlife research and management. Forestry research and management. Rangeland research and management. Photography.,
7/24/15,Alchemist Aerials,Utilities/Energy/Infrastructure,DJI Spreading Wings S800 EVO,TX,Aerial inspection and photogrammetry services for the mining and oil and gas industry.,
7/24/15,Tadsen Photography LLC,"Real Estate, Photo/Film, Utilities/Energy/Infrastructure, Agriculture, Construction","DJI Phantom 2 Vision+, DJI Inspire 1, DJI Phantom 3",WI,"Aerial videography of real estate. Aerial videography for advertising, media and film. Structural inspection. Industrial and construction site survey, photography and videography. Architectural survey, photography and videography. Agricultural survey, photography and videography.",
7/24/15,4Prop Production,"Photo/Film, Real Estate, Construction","Phantom 3, 3D Robotics IRIS+",TX,"Aerial surveying, Event photography/videography. Real estate photography, Aerial filmmaking and photography, Unmanned aerial sightseeing, Construction site inspections and monitoring, Building inspections",
7/24/15,Atlanta Marketing Professionals,"Real Estate, Photo/Film, Emergency Services, Utilities/Energy/Infrastructure",DJI Inspire 1,GA,"Real Estate, Marketing, Surveying, Industrial, Special Events, Utility Inspection, Local and National Natural and Man Made Disaster Rescue",
7/24/15,"Hendrix Consulting Group, LLC","Photo/Film, Construction",DJI Inspire 1,MN,"Videography, photography, data collection, inspection services, mapping and construction project assessment.",
7/24/15,Mobile Tint Inc dba Diversified Drone,Real Estate,DJI Phantom 2 Vision+,FL,Aerial imagery to assist in the marketing of real estate properties.,
7/24/15,Buckley Thomas Burkhardt,"Construction, Real Estate, Insurance, Photo/Film ","DJI Phantom 2 Vision+, 3D Robotics Solo",AL,"Aerial video and photography of construction sites, real estate, insurance operations, and landscape.",
7/24/15,Victor H. Rojas,Construction. Real Estate,"DJI Phantom 2 Vision +, DJI Phantom 3",FL,"Roof Inspection, photography and video capture usage. Construction Site Inspection. Photography and video capture usage. Real Estate inspection, photography and video capture usage.",
7/24/15,"Garner Environmental Services, Inc.","Utilities/Energy/Infrastructure, Emergency Services","DJI Phantom 2, DJI S1000",TX,"Aerial photography for the purpose of emergency response to incidents involving hazardous materials, industrial services, disaster services and support, topographical surveying, and mapping.",
7/24/15,Daryll Griff,Real Estate,DJI Inspire 1,CA,Aerial videography and photography.,
7/27/15,Star Engineering Services LLC,"Agriculture, Photo/Film, Real Estate, Construction, Emergency Services","DJI Phantom 2, DJI S1000+",PR,"Aerial surveying, Agriculture, Aerial filmmaking and photography, Real Estate, Construction site inspections and monitoring, Educational and research operations.",
7/27/15,Eye-in-the-Sky Aerial Photography,"Real Estate, Insurance",Yuneec Typhoon 500Q+,FL,Real estate and insurance documentation and survey purposes throughout the southern Florida and Georgia markets.,
7/27/15,Toby R Brusseau,"Conservation, Construction, Real Estate, Photo/Film",DJI Inspire 1,SD,"Aerial video and photography of forest service operations, construction sites, real estate and landscape.",
7/27/15,Aerial Sciences Corporation,"Agriculture, Conservation, Government Contracting, Emergency Services ","AR-960, AR-540",AZ,"Aerial Survey/Inspection and Imaging, Agricultural, Forestry, Wildlife Preservation, Law Enforcement, and Search and Rescue, and Training.",
7/27/15,Thomas M Kane,"Photo/Film, Insurance",DJI Phantom 2 Vision+,FL,"Videography, photography, inspections, promotions, corporate events and insurance applications.",
7/27/15,Allied Roofing and Sheet Metal Inc,Construction,"DJI Phantom 2 Vision +, DJI Phantom 3, DJI Inspire 1",FL,"Aerial photography, videography, and inspection.",
7/27/15,AeroUAVs LLC,"Construction, Real Estate, Agriculture, Education","DJI Phantom 2, DJI Phantom 2 Vision, DJI Phantom 2 Vision+, DJI Inspire, DJI S1000, DJI S900, Flamewheel 550, eBee AG, 3DRobotics IRIS+, RF-70, Phantom 3 Professional, Phantom 3 Advanced",FL,"Aerial Photography and Videography for the real estate, construction, and utilities industries. Agricultural Surveying and Application. sUAS Operator Training. Product Demonstrations. Research and Development",
7/27/15,Tom Kilpatrick,"Real Estate, Photo/Film, Utilities/Energy/Infrastructure, Emergency Services","DJI Inspire 1, Model T600",OK,"Aerial photography, videography, inspection, and training.",
7/27/15,Keith Redlin,"Photo/Film, Construction, Real Estate","Blade 350QX, DJI Inspire 1",MI,"High quality imaging (under 400 ft) for real estate, construction, and recreational markets in Michigan and the surrounding states as well as special events.",
7/27/15,New Legacy Productions,"Photo/Film, Construction, Real Estate",DJI Phantom 2 Vision+,CA,"Aerial video and photography of construction sites, real estate, special events, film sets, and landscape.",
7/27/15,KEO Drone Survey Systems,Photo/Film,DJI Phantom 2 Vision+,FL,"Aerial photography, cinematography, videography, inspections and other flight operations.",
7/27/15,Jeffrey W Bopp,Photo/Film,DJI Phantom 2 Vision+,SC,"Aerial photography, cinematography, videography, inspections and other flight operations.",
7/27/15,Nikolaos K Louvros,Photo/Film,DJI Phantom 2 Vision+,NY,"Aerial photography, cinematography, videography, inspections and other flight operations.",
7/27/15,Avwatch Inc,Government Contracting,DJI Phantom 2 Vision,MA,"Aerial reconnaissance, Real-Time Full Motion Video (FMV), and airborne networking services to government and commercial clients.",
7/27/15,CNN,Photo/Film,"3DR Solo, AirRobot AR180, DJI Inspire 1, DJI Phantom 2 Vision, Altus Delta X-8",GA,"Aerial photography, aerial videography, and closed-set motion picture and television filming.",
7/27/15,John Harvey,Photo/Film,"DJI Phantom 2, DJI Inspire 1",TX,Community awareness and aerial photography and videography operations.,
7/27/15,John West,"Construction, Real Estate, Emergency Services",DJI Phantom 3 Professional,NY,"Construction sites before, after and during. Appraisals. Real-estate marketing. Aerial acquisitions used for inspections of public and private structures. Search and Rescue operations.",
7/27/15,Aerial Agronomics LLC,"Agriculture, Utilities/Energy/Infrastructure","3D Robotics RTF X8, Tarot 680Pro",MO,"Help improve the quality, consistency, and yield of crops as well as help reduce the risks involved with a variety of dangerous inspections in the private sector (pipeline, tower, natural disaster).",
7/27/15,Tippmann Construction,"Construction, Real Estate","DJI Phantom 2 Vision +, DJI Phantom 3",IN,Aerial photography and video for real estate development and construction progress and sites.,
7/27/15,Ryan Rader,"Photo/Film, Agriculture, Utilities/Energy/Infrastructure",DJI Phantom 2 Vision+,OK,"Aerial photography, cinematography, videography, mapping, crop surveying, inspections.",
7/27/15,"Bliss Laboratory of Information, Signals, and Systems",Scientific Studies,DJI Spreading Wings S1000,AZ,"Research in a variety of areas including advance wireless multiple-input and multiple-output (MIMO) communications, advance remote sensing, in-band full-duplex communications, and anticipatory physiological monitoring.",
7/27/15,Chesapeake Aerial Solutions LLC,"Conservation, Scientific Studies, Real Estate, Agriculture",DJI Phantom 2,MD,Agriculture (monitoring of CREP Easement strips). Surveying. Marsh Surveys (vegetation in-fill and wildlife habitat). Real Estate Photography. Landscape Architecture,
7/27/15,Vertical Vision,Utilities/Energy/Infrastructure,DJI Phantom 2 Vision+,LA,"Aerial imaging/videography of structures as well as observation and inspection of utility equipment in a controlled, safe environment.",
7/27/15,EagleÌ¢åÛåªs View Aerial Photography,"Photo/Film, Agriculture",DJI Inspire 1,IN,"Aerial photography, cinematography, videography, mapping, crop surveying, inspections.",
7/27/15,W David Hoffman,"Construction, Real Estate, Photo/Film",DJI Phantom 3 Vision+,AZ,"Aerial video and photography of construction sites, real estate, special events, film sets, and landscape.",
7/27/15,Glenn Sanders,"Photo/Film, Agriculture, Utilities/Energy/Infrastructure",Yuneec Q500 Typhoon,MS,"Timber management, aerial photography, videography, mapping, crop surveying, inspections, and other flight operations.",
7/27/15,Arizona Public Service Company,Utilities/Energy/Infrastructure,Microdrone MD4-1000,AZ,Visual inspections of energy infrastructure.,
7/28/15,Michael Rouyre dba Point of View,Construction,DJI Inspire 1,TX,Roof inspections.,
7/28/15,Shick Web Design LLC,"Real Estate, Photo/Film",DJI Phantom 3,FL,"Aerial photography/videography/cinematography to enhance real estate listings, website design and marketing.",
7/28/15,Kuepper Creative,Photo/Film,DJI Inspire 1,AK,"Aerial video and photography to be used in television and web based commercials, educational videos, tourism promotion, and nature awareness.",
7/28/15,PicWing Inc,Photo/Film,"3DR Iris+, DJI Phantom 2",CA,"Photography, photogrammetry, inspection, and analyses.",
7/28/15,Strix Imaging LLC,Other,Swift Radioplanes Lynx,NV,Precision aerial surveying.,
7/28/15,Space Coast Aerial Surveillance LLC,Photo/Film,"Tarot 680 Pro, Tarot 960",FL,"Aerial surveillance, cinematography and photography.",
7/28/15,Firmatek LLC,Utilities/Energy/Infrastructure,Aibotix X6,TX,"Commerical aerial surveys and inspections with a small, unmanned aircraft system, thereby delivering accurate metric data to clients operating surface mines and mineral quarries.",
7/28/15,Chance E Wiggins,"Real Estate, Construction, Education",DJI Phantom 2 Vision+,CA,Real estate and private property aerial photography. Aerial acquisitions used for inspections of public and private structures. Increase public knowledge of UAS and promote safe UAS operations.,
7/28/15,Coldwater Group LLC,Photo/Film,"DJI Inspire 1, 3D Robotics Fixed Wing Plane",MT,Aerial videography and photography.,
7/28/15,Jacob N Anderson,"Government Contracting, Agriculture, Utilities/Energy/Infrastructure, Conservation",DJI Phantom Vision 2,MI,"Aerial acquisition and research in support of government entities, agriculture industry, utility companies, local infrastructure, scientific studies, wildlife monitoring, mining, surveying, forestry, and much more.",
7/28/15,Matthew A Thomas,"Real Estate, Construction, Education",DJI Phantom 3 Professional,HI,Real estate and private property aerial photography. Aerial acquisitions used for inspections of public and private structures.  Increase public knowledge of UAS and promote safe UAS operations.,
7/28/15,Boulder Emergency Squad,Emergency Services,DJI S1000,CO,"Aerial mapping, inspections, and search and rescue operations.",
7/28/15,Ocelleye LLC,Construction,TBS Discovery Pro,IN,Aerial imaging of secured and controlled environment construction and survey sites.,
