parent,parent_id,Item,item_id,child,"Less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and more"
Processed fruits*,processed-fruits,Canned fruits*,canned-fruits,child,9.28,8.12,11.74,11.16,13.7,15.27,19.38,18.67,26.06
Processed fruits*,processed-fruits,Dried fruit*,dried-fruit,child,4.23,4.25,5.73,5.32,5.2,7.41,6.52,6.61,10.99
Processed fruits*,processed-fruits,Fresh fruit juice*,fresh-fruit-juice,child,5.8,8.51,6.39,10.23,12.24,10.37,15.78,16.88,22.53
Processed fruits*,processed-fruits,Canned and bottled fruit juice*,canned-and-bottled-fruit-juice,child,46.18,32.93,35.19,37.12,44.76,46.89,47.66,57.44,69.96
,,,,,,,,,,,,,
Fruits and vegetables*,fruits-and-vegetables,Processed vegetables*,processed-vegetables,,82.75,80.52,90.78,97.07,103.42,123.53,122.66,131.34,173.63
,,,,,,,,,,,,,
Processed vegetables*,processed-vegetables,Frozen vegetables*,frozen-vegetables,child,22.45,25.95,25.24,20.85,24.01,36.16,30.61,33.5,48.67
Processed vegetables*,processed-vegetables,Canned and dried vegetables and juices*,canned-and-dried-vegetables-and-juices,,60.3,54.57,65.54,76.22,79.41,87.37,92.04,97.84,124.97
,,,,,,,,,,,,,
Canned and dried vegetables and juices*,canned-and-dried-vegetables-and-juices,Canned beans*,canned-beans,child,16.8,14.74,16.88,19.41,20.12,24.58,20.09,25.62,30.66
Canned and dried vegetables and juices*,canned-and-dried-vegetables-and-juices,Canned corn*,canned-corn,child,6.86,5.87,8.45,10.84,10.09,10.54,11.73,10.56,15.86
Canned and dried vegetables and juices*,canned-and-dried-vegetables-and-juices,Canned miscellaneous vegetables*,canned-miscellaneous-vegetables,child,12.78,12,16.58,17.68,20.18,20.42,19.92,23.98,31.99
Canned and dried vegetables and juices*,canned-and-dried-vegetables-and-juices,Dried peas*,dried-peas,child,0.65,b/,0.69,0.39,0.71,0.67,0.24,0.25,0.5
Canned and dried vegetables and juices*,canned-and-dried-vegetables-and-juices,Dried beans*,dried-beans,child,4.89,0.97,3.58,5.61,3.8,5.82,5.8,6.38,6.48
Canned and dried vegetables and juices*,canned-and-dried-vegetables-and-juices,Dried miscellaneous vegetables*,dried-miscellaneous-vegetables,child,6.93,6.94,7.09,8.62,10.64,10.26,10.58,9.91,14.32
Canned and dried vegetables and juices*,canned-and-dried-vegetables-and-juices,Dried processed vegetables*,dried-processed-vegetables,child,0.16,0.48,b/,b/,0.82,0.4,0.24,0.41,0.65
Canned and dried vegetables and juices*,canned-and-dried-vegetables-and-juices,Frozen vegetable juices*,frozen-vegetable-juices,child,0.08,1.9,0.14,0.01,0.09,0.63,0.56,0.27,0.41
Canned and dried vegetables and juices*,canned-and-dried-vegetables-and-juices,Fresh and canned vegetable juices*,fresh-and-canned-vegetable-juices,child,11.14,11.65,12.12,13.66,12.96,14.05,22.9,20.46,24.1
,,,,,,,,,,,,,
Food at home,food-at-home,Other food at home*,other-food-at-home,,804.27,826.14,842.44,921.23,986.44,"1,175.76","1,248.36","1,352.32","1,919.07"
,,,,,,,,,,,,,
Other food at home*,other-food-at-home,Sugar and other sweets*,sugar-and-other-sweets,,84.02,79.96,92.27,90.83,102.39,132.08,135.34,124.79,189.57
,,,,,,,,,,,,,
Sugar and other sweets*,sugar-and-other-sweets,Candy and chewing gum*,candy-and-chewing-gum,child,48.8,45.99,51.16,53.38,59,82.76,85.85,76.37,126.2
Sugar and other sweets*,sugar-and-other-sweets,Sugar*,sugar,child,15.7,18.74,15.59,17.67,18.17,23.42,22.97,17.14,22.68
Sugar and other sweets*,sugar-and-other-sweets,Artificial sweeteners*,artificial-sweeteners,child,4.19,4.01,0.66,2.94,2.07,4.72,3.06,4.3,4.92
Sugar and other sweets*,sugar-and-other-sweets,"Jams, preserves, other sweets*",jams-preserves-other-sweets,child,15.34,11.21,24.86,16.84,23.15,21.18,23.45,26.98,35.76
,,,,,,,,,,,,,
Other food at home*,other-food-at-home,Fats and oils*,fats-and-oils,,82.16,66.56,81.88,87.42,82.83,103.74,103.57,109.53,152.91
,,,,,,,,,,,,,
Fats and oils*,fats-and-oils,Margarine*,margarine,child,5.73,5.26,5.85,5.89,5.47,6.2,4.77,7.96,8.57
Fats and oils*,fats-and-oils,Fats and oils*,fats-and-oils-i,child,28.54,16.16,27.99,32.31,24.84,36.42,36.49,33.86,45.17
Fats and oils*,fats-and-oils,Salad dressings*,salad-dressings,child,18.24,20.49,21.46,18.97,23.74,27.22,27.4,29.09,38.28
Fats and oils*,fats-and-oils,Nondairy cream and imitation milk*,nondairy-cream-and-imitation-milk,child,9.68,9.9,12.15,17.06,15.46,19.63,19.95,22.86,31.95
Fats and oils*,fats-and-oils,Peanut butter*,peanut-butter,child,19.98,14.74,14.43,13.19,13.32,14.28,14.97,15.76,28.94
,,,,,,,,,,,,,
Other food at home*,other-food-at-home,Miscellaneous foods*,miscellaneous-foods,,405.02,421.21,411.07,457.51,484.8,577.9,640.98,674.52,992.37
,,,,,,,,,,,,,
Miscellaneous foods*,miscellaneous-foods,Frozen prepared foods*,frozen-prepared-foods,,72.91,94.11,93.36,98.15,85.23,121.36,113.66,131.49,169.77
,,,,,,,,,,,,,
Frozen prepared foods*,frozen-prepared-foods,Frozen meals*,frozen-meals,child,27.07,45.67,39.13,46.3,37.41,57.39,47.26,55.95,76.04
Frozen prepared foods*,frozen-prepared-foods,Other frozen prepared foods*,other-frozen-prepared-foods,child,45.84,48.45,54.23,51.85,47.82,63.98,66.41,75.54,93.73
,,,,,,,,,,,,,
Miscellaneous foods*,miscellaneous-foods,Canned and packaged soups*,canned-and-packaged-soups,child,35.34,24.55,28.02,29.07,36.53,39.03,47.51,40.99,62.74
Miscellaneous foods*,miscellaneous-foods,"Potato chips, nuts, and other snacks*",potato-chips-nuts-and-other-snacks,,92.07,90.09,85.72,95.41,112.55,127.52,150.05,160.21,231.35
,,,,,,,,,,,,,
"Potato chips, nuts, and other snacks*",potato-chips-nuts-and-other-snacks,Potato chips and other snacks*,potato-chips-and-other-snacks,child,67.4,70.5,67.42,65.81,80.9,91.6,111.26,118.48,159.19
"Potato chips, nuts, and other snacks*",potato-chips-nuts-and-other-snacks,Nuts*,nuts,child,24.67,19.59,18.31,29.6,31.65,35.92,38.79,41.73,72.15
,,,,,,,,,,,,,
Miscellaneous foods*,miscellaneous-foods,Condiments and seasonings*,condiments-and-seasonings,,79.94,55.27,71.81,87.79,92.93,105.68,133.29,131.24,190.65
,,,,,,,,,,,,,
Condiments and seasonings*,condiments-and-seasonings,"Salt, spices, other seasonings*",salt-spices-other-seasonings,child,27.76,17.86,20.46,25.46,25.77,30.86,44.64,32.65,52.11
Condiments and seasonings*,condiments-and-seasonings,"Olives, pickles, relishes*",olives-pickles-relishes,child,10.62,5.22,8.67,11.64,11.19,11.37,13.76,16.8,21.8
Condiments and seasonings*,condiments-and-seasonings,Sauces and gravies*,sauces-and-gravies,child,32.37,23.16,32.91,35.49,40.23,45.61,51.09,59.85,85.05
Condiments and seasonings*,condiments-and-seasonings,Baking needs and miscellaneous products*,baking-needs-and-miscellaneous-products,child,9.19,9.04,9.77,15.2,15.74,17.83,23.81,21.95,31.7
,,,,,,,,,,,,,
Miscellaneous foods*,miscellaneous-foods,Other canned and packaged prepared foods*,other-canned-and-packaged-prepared-foods,,124.76,157.18,132.16,147.09,157.55,184.31,196.46,210.6,337.86
,,,,,,,,,,,,,
Other canned and packaged prepared foods*,other-canned-and-packaged-prepared-foods,Prepared salads*,prepared-salads,child,17.62,25.37,18.41,27.74,23.61,30.54,27.96,40.62,57.73
Other canned and packaged prepared foods*,other-canned-and-packaged-prepared-foods,Prepared desserts*,prepared-desserts,child,7.7,12.07,12.85,16.07,11.95,14.1,15.62,14.66,19.25
