parent,parent_id,Item,item_id,child,"Less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and more"
Electricity,electricity,Electricity (renter),electricity-(renter),child,497.02,494.52,465.09,461.35,524.82,500.24,457.74,415.06,238.95
Electricity,electricity,Electricity (owned home),electricity-(owned-home),child,535.37,447.91,605.02,718.41,757.59,916.59,948.94,"1,103.24","1,541.36"
Electricity,electricity,Electricity (owned vacation),electricity-(owned-vacation),child,1.53,0.52,0.2,4.65,4.03,3.95,18.59,9.15,29.39
Electricity,electricity,Electricity (rented vacation),electricity-(rented-vacation),child,13.07,8.81,12.08,1.43,13.85,8.71,13.77,2.32,11.18
,,,,,,,,,,,,,
"Utilities, fuels, and public services",utilities-fuels-and-public-services,Fuel oil and other fuels,fuel-oil-and-other-fuels,,60.66,41.54,89.69,115.13,135.93,111.5,140.39,153.29,219.27
,,,,,,,,,,,,,
Fuel oil and other fuels,fuel-oil-and-other-fuels,Fuel oil,fuel-oil,,34.03,13.29,51.43,78.02,75.04,52.72,66.44,91.23,122.63
,,,,,,,,,,,,,
Fuel oil,fuel-oil,Fuel oil (renter),fuel-oil-(renter),child,1.56,0.8,3.38,6.22,8.3,4.85,4.19,15.13,4.51
Fuel oil,fuel-oil,Fuel oil (owned home),fuel-oil-(owned-home),child,32.04,9.87,48.06,71.79,66.74,47.85,60.02,75.64,111.57
Fuel oil,fuel-oil,Fuel oil (owned vacation),fuel-oil-(owned-vacation),child,b/,b/,b/,b/,b/,0.02,2.23,0.46,4.44
Fuel oil,fuel-oil,Fuel oil (rented vacation),fuel-oil-(rented-vacation),child,0.43,2.62,b/,b/,b/,b/,b/,b/,2.12
,,,,,,,,,,,,,
Fuel oil and other fuels,fuel-oil-and-other-fuels,"Coal, wood, and other fuels",coal-wood-and-other-fuels,,2.64,0.98,3.08,2.68,11.59,9.09,12.49,11.19,13.84
,,,,,,,,,,,,,
"Coal, wood, and other fuels",coal-wood-and-other-fuels,"Coal, wood, other fuels (renter)",coal-wood-other-fuels-(renter),child,0.24,0.98,b/,b/,2.9,4.68,3.95,2.12,0.21
"Coal, wood, and other fuels",coal-wood-and-other-fuels,"Coal, wood, other fuels (owned home)",coal-wood-other-fuels-(owned-home),child,2.4,b/,3.08,2.68,8.69,4.41,8.54,9.07,13.1
"Coal, wood, and other fuels",coal-wood-and-other-fuels,"Coal, wood, other fuels (owned vacation)",coal-wood-other-fuels-(owned-vacation),child,b/,b/,b/,b/,b/,b/,b/,b/,0.02
"Coal, wood, and other fuels",coal-wood-and-other-fuels,"Coal, wood, other fuels (rented vacation)",coal-wood-other-fuels-(rented-vacation),child,b/,b/,b/,b/,b/,b/,b/,b/,0.51
,,,,,,,,,,,,,
Fuel oil and other fuels,fuel-oil-and-other-fuels,Bottled gas,bottled-gas,,23.99,27.27,35.18,34.43,49.3,49.7,61.46,50.87,82.8
,,,,,,,,,,,,,
Bottled gas,bottled-gas,"Gas, btld/tank (renter)",gas-btld/tank-(renter),child,0.6,3.63,1.42,1.43,7.44,6.52,7.48,3.9,2.79
Bottled gas,bottled-gas,"Gas, btld/tank (owned home)",gas-btld/tank-(owned-home),child,23.39,23.24,31.85,28.35,37.56,40.46,50.15,44.51,72.11
Bottled gas,bottled-gas,"Gas, btld/tank (owned vacation)",gas-btld/tank-(owned-vacation),child,b/,0.4,0.41,4.65,3.37,2.71,3.83,2.46,7.21
Bottled gas,bottled-gas,"Gas, btld/tank (rented vacation)",gas-btld/tank-(rented-vacation),child,b/,b/,1.49,b/,0.93,b/,b/,b/,0.69
,,,,,,,,,,,,,
"Utilities, fuels, and public services",utilities-fuels-and-public-services,Telephone services,telephone-services,,672.36,606.28,702.18,852.81,978.34,"1,123.23","1,233.25","1,440.12","1,848.34"
,,,,,,,,,,,,,
Telephone services,telephone-services,"Residential phone service, VOIP, and phone cards",residential-phone-service-voip-and-phone-cards,,243.22,215.56,265.62,329.91,313.03,330.68,326.79,351.3,433.87
"Residential phone service, VOIP, and phone cards",residential-phone-service-voip-and-phone-cards,Phone cards,phone-cards,child,9.27,18.13,16.63,16.02,14.87,16.35,15.6,9.37,7.72
"Residential phone service, VOIP, and phone cards",residential-phone-service-voip-and-phone-cards,Residential telephone including VOIP,residential-telephone-including-voip,child,233.95,197.43,248.99,313.9,298.16,314.32,311.19,341.93,426.15
,,,,,,,,,,,,,
Telephone services,telephone-services,Cellular phone service,cellular-phone-service,child,429.14,390.71,436.56,522.9,665.31,792.55,906.46,"1,088.82","1,414.47"
,,,,,,,,,,,,,
"Utilities, fuels, and public services",utilities-fuels-and-public-services,Water and other public services,water-and-other-public-services,,275.08,252.22,306.23,367.85,431.35,444.7,489.86,545.71,739.3
,,,,,,,,,,,,,
Water and other public services,water-and-other-public-services,Water and sewerage maintenance,water-and-sewerage-maintenance,,200.44,190.02,222.53,282.38,307.86,336.12,362.88,405.19,540.05
,,,,,,,,,,,,,
Water and sewerage maintenance,water-and-sewerage-maintenance,Water/sewer maint. (renter),water/sewer-maint.-(renter),child,84.13,72.99,71.38,74.33,88.83,86.46,86.16,95.39,61.15
Water and sewerage maintenance,water-and-sewerage-maintenance,Water/sewer maint. (owned home),water/sewer-maint.-(owned-home),child,115.08,114.37,150.35,207.2,214.65,246.5,267.27,306.37,468.35
Water and sewerage maintenance,water-and-sewerage-maintenance,Water/sewer maint. (owned vacation),water/sewer-maint.-(owned-vacation),child,0.27,b/,b/,0.85,0.79,1.62,4.86,2.57,6.51
Water and sewerage maintenance,water-and-sewerage-maintenance,Water/sewer maint. (rented vacation),water/sewer-maint.-(rented-vacation),child,0.95,2.66,0.8,b/,3.6,1.55,4.58,0.87,4.04
,,,,,,,,,,,,,
Water and other public services,water-and-other-public-services,Trash and garbage collection,trash-and-garbage-collection,,73.26,60.78,82.7,80.69,121.1,105.06,120.32,136.37,187.78
,,,,,,,,,,,,,
Trash and garbage collection,trash-and-garbage-collection,Trash/garb. coll. (renter),trash/garb.-coll.-(renter),child,24.25,17.21,17.21,15.53,21.52,19.78,21.87,24.36,15.19
Trash and garbage collection,trash-and-garbage-collection,Trash/garb. coll. (owned home),trash/garb.-coll.-(owned-home),child,47.6,42.39,64.5,63.56,97.47,82.8,95.33,109.48,162.99
Trash and garbage collection,trash-and-garbage-collection,Trash/garb. coll. (owned vacation),trash/garb.-coll.-(owned-vacation),child,0.62,b/,0.47,1.6,1.5,1.75,3.12,2.05,7.43
Trash and garbage collection,trash-and-garbage-collection,Trash/garb. coll. (rented vacation),trash/garb.-coll.-(rented-vacation),child,0.8,1.18,0.51,b/,0.61,0.74,b/,0.49,2.16
,,,,,,,,,,,,,
Water and other public services,water-and-other-public-services,Septic tank cleaning,septic-tank-cleaning,,1.37,1.41,1,4.78,2.39,3.52,6.66,4.15,11.48
,,,,,,,,,,,,,
Septic tank cleaning,septic-tank-cleaning,Septic tank clean. (renter),septic-tank-clean.-(renter),child,0.28,0.31,b/,0.05,0.43,b/,0.1,0.22,0.1
Septic tank cleaning,septic-tank-cleaning,Septic tank clean. (owned home),septic-tank-clean.-(owned-home),child,1.1,1.11,1,4.73,1.97,3.52,6.56,3.93,10.94
Septic tank cleaning,septic-tank-cleaning,Septic tank clean. (owned vacation),septic-tank-clean.-(owned-vacation),child,b/,b/,b/,b/,b/,b/,b/,b/,0.44
Septic tank cleaning,septic-tank-cleaning,Septic tank clean. (rented vacation),septic-tank-clean.-(rented-vacation),child,b/,b/,b/,b/,b/,b/,b/,b/,b/
,,,,,,,,,,,,,
Housing,housing,Household operations,household-operations,,370.63,404.81,465.39,615.31,639.26,680.85,744.6,959.66,"2,171.76"
,,,,,,,,,,,,,
Household operations,household-operations,Personal services,personal-services,,44.47,86.9,130.61,143.96,108.63,137.93,151.55,233.11,809.92
Personal services,personal-services,Babysitting and child care,babysitting-and-child-care,child,6.42,32.96,16.43,21.08,33.26,34.17,35.38,42.77,211.25
Personal services,personal-services,"Care for elderly, invalids, handicapped, etc",care-for-elderly-invalids-handicapped-etc,child,b/,1.69,63.37,92.4,14.86,14.21,-10.48,4.3,32.72
Personal services,personal-services,Adult day care centers,adult-day-care-centers,child,b/,b/,31.44,3.14,b/,0.7,2.29,0.02,0.32
Personal services,personal-services,"Day care centers, nursery, and preschools",day-care-centers-nursery-and-preschools,child,38.05,52.25,19.36,27.34,60.51,88.84,124.36,186.02,565.62
,,,,,,,,,,,,,
Household operations,household-operations,Other household expenses,other-household-expenses,,326.16,317.91,334.78,471.34,530.63,542.92,593.05,726.55,"1,361.84"
,,,,,,,,,,,,,
Other household expenses,other-household-expenses,Housekeeping services,housekeeping-services,child,28.03,33.13,24.24,50.88,63.73,56.81,48.8,75.76,281.84
Other household expenses,other-household-expenses,"Gardening, lawn care service",gardening-lawn-care-service,child,41.78,37.33,46.56,78.01,78.56,85.81,71.05,106.57,248.42
Other household expenses,other-household-expenses,Water softening service,water-softening-service,child,3.35,1.63,3.55,7.02,4.12,4.09,3.55,6.06,7.31
Other household expenses,other-household-expenses,"Household laundry and dry cleaning, sent out (nonclothing) not coin-operated*",household-laundry-and-dry-cleaning-sent-out-(nonclothing)-not-coin-operated,child,5.75,b/,2.8,6.4,5.53,6.56,9.5,9.88,31.94
Other household expenses,other-household-expenses,Coin-operated household laundry and dry cleaning (nonclothing)*,coin-operated-household-laundry-and-dry-cleaning-(nonclothing),child,3.79,6.74,5.05,4.82,6.78,7.42,8.37,10.26,7.66
Other household expenses,other-household-expenses,Services for termite/pest control,services-for-termite/pest-control,child,6.03,5.38,5.13,9.63,8.08,10.78,12.78,14.01,35.61
Other household expenses,other-household-expenses,Home security system service fee,home-security-system-service-fee,child,12.99,6.03,8.96,17,15.41,19.22,16.71,22.7,52.25
Other household expenses,other-household-expenses,Other home services,other-home-services,child,8.21,5.56,3.93,11.18,10.13,13.29,9.32,13.31,34.79
Other household expenses,other-household-expenses,Termite/pest control products,termite/pest-control-products,child,1.51,1.34,1.28,2.41,2.02,2.7,3.19,3.5,8.9
Other household expenses,other-household-expenses,"Moving, storage, freight",moving-storage-freight,child,26.85,49.05,21.94,39.52,44.03,13.11,17.9,51.43,96.18
Other household expenses,other-household-expenses,"Appliance repair, including service center",appliance-repair-including-service-center,child,3.61,6.86,10.25,7.54,8.49,9.07,9.35,11.07,18.95
Other household expenses,other-household-expenses,"Reupholstering, furniture repair",reupholstering-furniture-repair,child,0.77,0.26,0.21,1.25,2.02,1.75,3.23,3.47,11.43
Other household expenses,other-household-expenses,"Repairs/rentals of lawn and garden equipment, hand or power tools, other household equipment",repairs/rentals-of-lawn-and-garden-equipment-hand-or-power-tools-other-household-equipment,child,0.29,3.51,2.91,1.46,5.59,3.82,4.43,9.44,11.81
Other household expenses,other-household-expenses,Appliance rental,appliance-rental,child,1.48,1.42,1.99,1.96,2.11,1.01,1.83,1.18,0.63
Other household expenses,other-household-expenses,Rental of office equipment for nonbusiness use,rental-of-office-equipment-for-nonbusiness-use,child,0.24,0.04,4.08,0.13,4.43,1.17,0.43,0.04,0.36
Other household expenses,other-household-expenses,Repair of miscellaneous household equipment and furnishings*,repair-of-miscellaneous-household-equipment-and-furnishings,child,b/,b/,b/,b/,b/,0.21,b/,1.18,3.75
Other household expenses,other-household-expenses,Repair of computer systems for nonbusiness use,repair-of-computer-systems-for-nonbusiness-use,child,3.33,1.37,1.12,3.98,5.72,3.75,4.41,3.29,6.97
Other household expenses,other-household-expenses,Computer information services (internet),computer-information-services-(internet),child,178.03,158.24,190.65,227.85,263.54,302.25,367.89,383.1,502.33
Other household expenses,other-household-expenses,Installation of computer,installation-of-computer,child,0.1,b/,0.15,0.32,0.34,0.02,0.31,0.31,0.64
Other household expenses,other-household-expenses,"Rental and installation of dishwashers, range hoods, and garbage disposals",rental-and-installation-of-dishwashers-range-hoods-and-garbage-disposals,child,b/,b/,b/,b/,b/,0.06,b/,b/,0.08
,,,,,,,,,,,,,
Housing,housing,Housekeeping supplies,housekeeping-supplies,,278,264.24,361.4,358.16,449.12,534.69,527.5,629.92,920.07
,,,,,,,,,,,,,
Housekeeping supplies,housekeeping-supplies,Laundry and cleaning supplies,laundry-and-cleaning-supplies,,78.16,89.61,92.74,105.61,120.66,128.83,144.46,145.25,193.94
,,,,,,,,,,,,,
Laundry and cleaning supplies,laundry-and-cleaning-supplies,Soaps and detergents*,soaps-and-detergents,child,48.37,44.06,57.78,56.62,61.11,69.18,68.12,77.66,108.24
Laundry and cleaning supplies,laundry-and-cleaning-supplies,Other laundry cleaning products*,other-laundry-cleaning-products,child,29.79,45.55,34.96,48.99,59.55,59.65,76.34,67.58,85.7
,,,,,,,,,,,,,
Housekeeping supplies,housekeeping-supplies,Other household products,other-household-products,,157.96,140.36,177.89,183.36,228.73,291.62,291.6,344.67,536.8
,,,,,,,,,,,,,
Other household products,other-household-products,"Cleansing and toilet tissue, paper towels and napkins*",cleansing-and-toilet-tissue-paper-towels-and-napkins,child,87.29,62.52,79.49,90.38,95.21,116.61,107.86,129.09,160.5
Other household products,other-household-products,Miscellaneous household products*,miscellaneous-household-products,child,59.93,47.35,74.36,76.33,72.49,126.18,138.49,145.32,238.61
Other household products,other-household-products,Lawn and garden supplies*,lawn-and-garden-supplies,child,10.74,30.5,24.03,16.65,61.03,48.83,45.25,70.26,137.69
,,,,,,,,,,,,,
Housekeeping supplies,housekeeping-supplies,Postage and stationery,postage-and-stationery,,41.88,34.27,90.77,69.19,99.73,114.24,91.44,140,189.33
,,,,,,,,,,,,,
Postage and stationery,postage-and-stationery,"Stationery, stationery supplies, giftwrap*",stationery-stationery-supplies-giftwrap,child,25.75,24.07,47.35,37.51,53.03,42.16,56.06,63.71,107.37
Postage and stationery,postage-and-stationery,Postage*,postage,child,16.12,10.2,42.31,31.54,40.4,69.33,34.77,72.87,75.36
Postage and stationery,postage-and-stationery,Delivery services*,delivery-services,child,b/,b/,1.11,0.14,6.3,2.75,0.61,3.43,6.6
,,,,,,,,,,,,,
Housing,housing,Household furnishings and equipment,household-furnishings-and-equipment,,589.9,635.34,495.81,731.44,810.42,"1,056.47","1,249.27","1,526.65","2,707.70"
,,,,,,,,,,,,,
Household furnishings and equipment,household-furnishings-and-equipment,Household textiles,household-textiles,,37.58,28.82,45.51,42.88,41.61,58.09,87.75,98.82,158.39
,,,,,,,,,,,,,
Household textiles,household-textiles,Bathroom linens*,bathroom-linens,child,9.76,7.14,7.26,9.93,15.94,14.65,19.53,19.78,36.09
Household textiles,household-textiles,Bedroom linens*,bedroom-linens,child,17.11,11.57,30.9,23.2,16.53,26.69,52.92,54.77,81.08
Household textiles,household-textiles,Curtains and draperies,curtains-and-draperies,child,5.12,6.97,2.78,3.63,3.89,8.3,9.42,11.18,23.19
Household textiles,household-textiles,"Slipcovers, decorative pillows",slipcovers-decorative-pillows,child,4.54,1.15,4.06,1.85,3.05,3.77,2.08,3.57,6.37
Household textiles,household-textiles,"Kitchen, dining room, other linens*",kitchen-dining-room-other-linens,child,1.05,2,0.5,4.26,2.2,4.68,3.79,9.52,11.66
,,,,,,,,,,,,,
Household furnishings and equipment,household-furnishings-and-equipment,Furniture,furniture,,158.97,107.46,102.89,197.82,185.06,244.8,280.16,348.51,704.31
,,,,,,,,,,,,,
Furniture,furniture,Mattress and springs,mattress-and-springs,child,30.09,19.04,10.73,34.16,36.56,55.31,62.94,91.66,105.68
Furniture,furniture,Other bedroom furniture,other-bedroom-furniture,child,24.52,19.35,23.72,49.41,32.82,35.06,68.97,59.92,120.25
Furniture,furniture,Sofas,sofas,child,54.78,34.08,25.02,46.33,50.49,75.41,65.03,88.35,201.57
Furniture,furniture,Living room chairs,living-room-chairs,child,4.87,11.79,20.32,12.65,20.6,25.97,21.22,27.68,48.17
Furniture,furniture,Living room tables,living-room-tables,child,5.27,1.61,2.27,3.48,6.79,10.06,6,11.62,20.86
Furniture,furniture,"Kitchen, dining room furniture",kitchen-dining-room-furniture,child,15.04,7.97,5.98,19.58,12.75,12.2,18.06,18.16,67.29
Furniture,furniture,Infants' furniture,infants'-furniture,child,1.38,4.57,3.28,1.01,2.31,8.73,6.3,7.96,13.36
Furniture,furniture,Outdoor furniture,outdoor-furniture,child,10.99,5.67,1.56,21.69,3.5,9.55,9.63,17.27,57.48
Furniture,furniture,"Wall units, cabinets and other occasional furniture",wall-units-cabinets-and-other-occasional-furniture,child,12.03,3.37,10.02,9.53,19.24,12.49,22.03,25.89,69.64
,,,,,,,,,,,,,
Household furnishings and equipment,household-furnishings-and-equipment,Floor coverings,floor-coverings,,4.86,3.4,3.74,5.76,5.3,6.85,15.33,9.27,39.69
,,,,,,,,,,,,,
Floor coverings,floor-coverings,"Floor coverings, nonpermanent",floor-coverings-nonpermanent,child,4.86,3.4,3.74,5.76,5.3,6.85,15.33,9.27,39.69
,,,,,,,,,,,,,
Household furnishings and equipment,household-furnishings-and-equipment,Major appliances,major-appliances,,66.76,96.69,71.93,115.91,151.46,176.31,129.17,215.28,408.33
,,,,,,,,,,,,,
Major appliances,major-appliances,"Dishwashers (built-in), garbage disposals, range hoods, (renter)",dishwashers-(built-in)-garbage-disposals-range-hoods-(renter),child,b/,b/,b/,0.64,0.3,b/,2.09,2.26,0.88
Major appliances,major-appliances,"Dishwashers (built-in), garbage disposals, range hoods, (owned home)",dishwashers-(built-in)-garbage-disposals-range-hoods-(owned-home),child,b/,5.78,1.13,7.71,11.66,8.46,18.75,15.38,34.55
Major appliances,major-appliances,"Refrigerators, freezers (renter)",refrigerators-freezers-(renter),child,4.69,2.4,4.79,4.95,3.98,10.73,9.1,15.59,5.44
Major appliances,major-appliances,"Refrigerators, freezers (owned home)",refrigerators-freezers-(owned-home),child,6.94,21.02,9.64,34.55,45.79,47.8,24.52,53.12,106.86
Major appliances,major-appliances,Clothes washer or dryer (renter),clothes-washer-or-dryer-(renter),child,11.64,12.39,6.59,9.22,13.85,20.88,8.53,9.94,7.66
Major appliances,major-appliances,Clothes washer or dryer (owned home),clothes-washer-or-dryer-(owned-home),child,16.38,38.95,17.53,18.7,28.17,33.83,24.09,48.55,87.01
Major appliances,major-appliances,"Cooking stoves, ovens (renter)",cooking-stoves-ovens-(renter),child,0.84,0.76,1.87,5.55,1.3,5.22,1.66,3.02,0.67
Major appliances,major-appliances,"Cooking stoves, ovens (owned home)",cooking-stoves-ovens-(owned-home),child,7.09,1.55,12.63,12.73,16.13,14.58,5.26,25.84,59.81
Major appliances,major-appliances,Microwave ovens (renter),microwave-ovens-(renter),child,5.04,4.19,4.45,2.26,4,2.04,4.04,2.99,1.6
Major appliances,major-appliances,Microwave ovens (owned home),microwave-ovens-(owned-home),child,0.97,0.66,1.24,6.61,6.49,7.17,6.76,13.54,19.38
Major appliances,major-appliances,Portable dishwasher (renter),portable-dishwasher-(renter),child,b/,b/,b/,0.52,b/,0.14,0.15,b/,b/
Major appliances,major-appliances,Portable dishwasher (owned home),portable-dishwasher-(owned-home),child,b/,b/,b/,b/,0.61,b/,b/,0.41,0.75
Major appliances,major-appliances,Window air conditioners (renter),window-air-conditioners-(renter),child,0.98,1.58,1.3,0.78,0.19,1.66,1.63,2.14,1.07
Major appliances,major-appliances,Window air conditioners (owned home),window-air-conditioners-(owned-home),child,b/,1.7,3.53,3.05,1.95,2.84,2.37,6.46,6.97
Major appliances,major-appliances,Electric floor cleaning equipment,electric-floor-cleaning-equipment,child,4.4,4.79,7.19,6.67,12.59,10.42,15.07,14.2,33.6
Major appliances,major-appliances,Sewing machines,sewing-machines,child,7.78,0.93,0.06,1.96,3.13,10.55,1.7,1.29,9.42
Major appliances,major-appliances,Miscellaneous household appliances*,miscellaneous-household-appliances,child,b/,b/,b/,b/,1.31,b/,3.47,0.57,32.68
,,,,,,,,,,,,,
Household furnishings and equipment,household-furnishings-and-equipment,"Small appliances, miscellaneous housewares",small-appliances-miscellaneous-housewares,,49.45,41.75,41.87,59.05,54.72,84.3,117.47,106.63,159.89
,,,,,,,,,,,,,
"Small appliances, miscellaneous housewares",small-appliances-miscellaneous-housewares,Housewares,housewares,,33.05,23.98,24.94,34.22,33.62,59.26,86.37,62.89,105.27
,,,,,,,,,,,,,
Housewares,housewares,Flatware,flatware,child,3.17,0.65,1.12,0.83,1.47,5.81,2.71,3.91,5.63
Housewares,housewares,"Dinnerware, glassware, serving pieces*",dinnerware-glassware-serving-pieces,child,6.8,3.8,12.05,11.07,16.69,14.18,18.3,24.34,34.1
Housewares,housewares,Nonelectric cookware*,nonelectric-cookware,child,13.17,14.02,1.7,14.28,6.38,19.71,41.19,13.81,28.3
Housewares,housewares,"Tableware, nonelectric kitchenware*",tableware-nonelectric-kitchenware,child,9.91,5.51,10.08,8.04,9.09,19.56,24.16,20.83,37.24
,,,,,,,,,,,,,
"Small appliances, miscellaneous housewares",small-appliances-miscellaneous-housewares,Small appliances,small-appliances,,16.4,17.77,16.93,24.84,21.1,25.04,31.1,43.74,54.62
,,,,,,,,,,,,,
Small appliances,small-appliances,Small electric kitchen appliances,small-electric-kitchen-appliances,child,10.92,13.03,11.78,15.35,17.11,18.86,22.75,32.39,42.2
Small appliances,small-appliances,Portable heating and cooling equipment,portable-heating-and-cooling-equipment,child,5.48,4.74,5.15,9.49,4,6.18,8.35,11.35,12.42
,,,,,,,,,,,,,
Household furnishings and equipment,household-furnishings-and-equipment,Miscellaneous household equipment,miscellaneous-household-equipment,,272.28,357.22,229.87,310.01,372.26,486.12,619.4,748.14,"1,237.09"
,,,,,,,,,,,,,
Miscellaneous household equipment,miscellaneous-household-equipment,Window coverings,window-coverings,child,1.89,0.34,0.62,3.54,8.22,6.76,5.74,6.87,31.72
Miscellaneous household equipment,miscellaneous-household-equipment,Infants' equipment*,infants'-equipment,child,3.21,13.84,14.58,1.54,2.79,8.88,4.95,14.17,23.38
Miscellaneous household equipment,miscellaneous-household-equipment,Laundry and cleaning equipment*,laundry-and-cleaning-equipment,child,5.47,6.91,18.04,10.25,8.48,12.3,18.87,20.29,26.38
Miscellaneous household equipment,miscellaneous-household-equipment,Outdoor equipment*,outdoor-equipment,child,b/,5.35,4.88,3.3,23.47,21.83,9.39,22.7,45.19
Miscellaneous household equipment,miscellaneous-household-equipment,"Lamps, lighting fixtures, ceiling fans*",lamps-lighting-fixtures-ceiling-fans,child,8.74,b/,1.96,17.1,18.59,21.64,9.7,13.47,59.31
Miscellaneous household equipment,miscellaneous-household-equipment,Clocks and other household decorative items*,clocks-and-other-household-decorative-items,child,36.13,20.68,26.58,29.01,37.52,68.51,113.06,130.37,185.94
Miscellaneous household equipment,miscellaneous-household-equipment,Telephones and accessories*,telephones-and-accessories,child,20.48,97.39,10.08,28.46,42.58,43.23,55.07,65.7,72.69
Miscellaneous household equipment,miscellaneous-household-equipment,Lawn and garden equipment*,lawn-and-garden-equipment,child,6.32,8.09,10.33,27.92,25.45,49.07,19.03,69,107.48
Miscellaneous household equipment,miscellaneous-household-equipment,Power tools*,power-tools,child,36.76,9.85,25.58,16.65,27.25,21.99,34.28,46.9,42.42
Miscellaneous household equipment,miscellaneous-household-equipment,Office furniture for home use,office-furniture-for-home-use,child,1.78,3.31,1.63,4.6,2.9,2.43,3.32,6.68,10.95
Miscellaneous household equipment,miscellaneous-household-equipment,Hand tools*,hand-tools,child,2.63,5.71,2.54,2.77,7.39,19.42,26.21,32.55,33.31
Miscellaneous household equipment,miscellaneous-household-equipment,"Indoor plants, fresh flowers",indoor-plants-fresh-flowers,child,13.52,8.16,14.85,22.82,26.67,28.59,41.09,49.68,87.99
Miscellaneous household equipment,miscellaneous-household-equipment,Closet and storage items*,closet-and-storage-items,child,2.4,6.74,0.95,2.47,3.74,5.99,14.4,12.97,23.48
Miscellaneous household equipment,miscellaneous-household-equipment,Rental of furniture,rental-of-furniture,child,4.94,10.72,10.45,3.65,3.16,2.88,6.48,5.68,2.07
Miscellaneous household equipment,miscellaneous-household-equipment,Luggage*,luggage,child,0.24,b/,8.16,4.68,0.2,7.15,5.95,2.47,39.95
Miscellaneous household equipment,miscellaneous-household-equipment,Computers and computer hardware for nonbusiness use,computers-and-computer-hardware-for-nonbusiness-use,child,83.81,59.89,43.25,74.01,73.75,79.55,130.4,131.17,231.99
Miscellaneous household equipment,miscellaneous-household-equipment,Portable memory,portable-memory,child,1.34,1.54,1.67,1.62,2.25,1.42,2.26,3.76,6.11
Miscellaneous household equipment,miscellaneous-household-equipment,Computer software,computer-software,child,11.63,4.89,1.83,3.98,4.54,4.58,7.32,12.05,16.36
Miscellaneous household equipment,miscellaneous-household-equipment,Computer accessories*,computer-accessories,child,7.78,49.91,3.63,16.47,10.41,27.51,22.78,41.32,67.02
Miscellaneous household equipment,miscellaneous-household-equipment,Internet services away from home,internet-services-away-from-home,child,2.22,0.12,2.64,1.76,2.3,4.96,2.03,4.79,3.44
Miscellaneous household equipment,miscellaneous-household-equipment,Business equipment for home use,business-equipment-for-home-use,child,3.99,0.73,0.65,1.83,2,2.85,1.96,3.85,6.38
Miscellaneous household equipment,miscellaneous-household-equipment,Other hardware*,other-hardware,child,4.69,6.85,8.96,0.33,6.1,2.96,5,3.67,27
Miscellaneous household equipment,miscellaneous-household-equipment,Other household appliances (owned home),other-household-appliances-(owned-home),child,1.28,0.36,0.8,2.37,2.51,5.75,11.54,6.38,15.66
Miscellaneous household equipment,miscellaneous-household-equipment,Other household appliances (renter),other-household-appliances-(renter),child,1.17,1.37,1.21,2.61,4.03,2.55,3.17,1.83,1.15
Miscellaneous household equipment,miscellaneous-household-equipment,Miscellaneous household equipment and parts*,miscellaneous-household-equipment-and-parts,child,9.89,34.47,14,26.27,25.96,33.3,65.39,39.82,69.72
,,,,,,,,,,,,,
Expenditures,expenditures,Apparel and services,apparel-and-services,,930.11,667.22,740.79,791.35,959.67,"1,320.77","1,517.61","1,602.49","2,928.28"
,,,,,,,,,,,,,
Apparel and services,apparel-and-services,Men and boys,men-and-boys,,262.78,136.01,151.62,191.58,222.91,313.15,321.23,372.25,729.39
,,,,,,,,,,,,,
Men and boys,men-and-boys,"Men, 16 and over",men-16-and-over,,209.44,109.3,110.14,144.84,159.23,228.65,227.25,293.74,556.76
,,,,,,,,,,,,,
"Men, 16 and over",men-16-and-over,Men's suits,men's-suits,child,13.57,3.66,3.5,4.84,3.6,4.57,8.6,19.43,47.61
"Men, 16 and over",men-16-and-over,"Men's sportcoats, tailored jackets",men's-sportcoats-tailored-jackets,child,1.31,0.1,4.72,0.37,1.56,2.2,4.53,2.88,19.91
"Men, 16 and over",men-16-and-over,Men's coats and jackets*,men's-coats-and-jackets,child,9.27,10.3,13.74,2.15,19.52,37.81,12.26,28.54,29.21
"Men, 16 and over",men-16-and-over,Men's underwear*,men's-underwear,child,24.83,11.99,11.83,11.11,9.77,30.35,24.58,33.74,48.65
"Men, 16 and over",men-16-and-over,Men's hosiery*,men's-hosiery,child,7.05,8.51,10.18,10.07,10.94,16.65,8.27,18.93,31.53
"Men, 16 and over",men-16-and-over,Men's nightwear,men's-nightwear,child,0.11,0.3,0.34,0.31,0.92,1.28,0.91,1.08,3.65
"Men, 16 and over",men-16-and-over,Men's accessories*,men's-accessories,child,37.06,8.24,9.93,10.39,9.06,18.31,17.21,20.97,50.09
"Men, 16 and over",men-16-and-over,"Men's shirts, sweaters, and vests*",men's-shirts-sweaters-and-vests,child,58.71,25.25,26.23,55.39,45.42,47.61,71.56,68.41,162
"Men, 16 and over",men-16-and-over,Men's active sportswear*,men's-active-sportswear,child,9.06,2.71,13.04,13.76,12.15,8.73,13.58,18.48,49.97
"Men, 16 and over",men-16-and-over,Men's pants and shorts*,men's-pants-and-shorts,child,47.95,36.02,15.83,32.88,44.86,56.83,63.68,78.11,108.66
