category_code,description_code,description
19,5700,Secretaries and Administrative Assistants
19,5800,Computer Operators
19,5810,Data Entry Keyers
19,5820,Word Processors and Typists
19,5840,Insurance Claims and Policy Processing Clerks
19,5850,"Mail Clerks and Mail Machine Operators, Except Postal Service"
19,5860,"Office Clerks, General"
19,5900,"Office Machine Operators, Except Computer"
19,5910,Proofreaders and Copy Markers
19,5920,Statistical Assistants
19,5940,"Office and administrative support workers, nec"
20,6005,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
20,6010,Agricultural Inspectors
20,6040,"Graders and Sorters, Agricultural Products"
20,6050,"Agricultural workers, nec"
20,6100,Fishing and hunting workers
20,6120,Forest and Conservation Workers
20,6130,Logging Workers
21,6200,First-Line Supervisors of Construction Trades and Extraction Workers
21,6210,Boilermakers
21,6220,"Brickmasons, Blockmasons, and Stonemasons"
21,6230,Carpenters
21,6240,"Carpet, Floor, and Tile Installers and Finishers"
21,6250,"Cement Masons, Concrete Finishers, and Terrazzo Workers"
21,6260,Construction Laborers
21,6300,"Paving, Surfacing, and Tamping Equipment Operators"
21,6320,"Construction equipment operators except paving, surfacing, and tamping equipment operators"
21,6330,"Drywall Installers, Ceiling Tile Installers, and Tapers"
21,6355,Electricians
21,6360,Glaziers
21,6400,Insulation Workers
21,6420,"Painters, Construction and Maintenance"
21,6430,Paperhangers
21,6440,"Pipelayers, Plumbers, Pipefitters, and Steamfitters"
21,6460,Plasterers and Stucco Masons
21,6500,Reinforcing Iron and Rebar Workers
21,6515,Roofers
21,6520,"Sheet Metal Workers, metal-working"
21,6530,Structural Iron and Steel Workers
21,6600,"Helpers, Construction Trades"
21,6660,Construction and Building Inspectors
21,6700,Elevator Installers and Repairers
21,6710,Fence Erectors
21,6720,Hazardous Materials Removal Workers
21,6730,Highway Maintenance Workers
21,6740,Rail-Track Laying and Maintenance Equipment Operators
21,6765,"Construction workers, nec"
22,6800,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining"
22,6820,"Earth Drillers, Except Oil and Gas"
22,6830,"Explosives Workers, Ordnance Handling Experts, and Blasters"
22,6840,Mining Machine Operators
22,6940,"Extraction workers, nec"
23,7000,"First-Line Supervisors of Mechanics, Installers, and Repairers"
23,7010,"Computer, Automated Teller, and Office Machine Repairers"
23,7020,Radio and Telecommunications Equipment Installers and Repairers
23,7030,Avionics Technicians
23,7040,"Electric Motor, Power Tool, and Related Repairers"
23,7100,"Electrical and electronics repairers, transportation equipment, and industrial and utility"
23,7110,"Electronic Equipment Installers and Repairers, Motor Vehicles"
23,7120,Electronic Home Entertainment Equipment Installers and Repairers
23,7125,"Electronic Repairs, nec"
23,7130,Security and Fire Alarm Systems Installers
23,7140,Aircraft Mechanics and Service Technicians
23,7150,Automotive Body and Related Repairers
23,7160,Automotive Glass Installers and Repairers
23,7200,Automotive Service Technicians and Mechanics
23,7210,Bus and Truck Mechanics and Diesel Engine Specialists
23,7220,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
23,7240,Small Engine Mechanics
23,7260,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers, nec"
23,7300,Control and Valve Installers and Repairers
23,7315,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
23,7320,Home Appliance Repairers
23,7330,Industrial and Refractory Machinery Mechanics
23,7340,"Maintenance and Repair Workers, General"
23,7350,"Maintenance Workers, Machinery"
23,7360,Millwrights
23,7410,Electrical Power-Line Installers and Repairers
23,7420,Telecommunications Line Installers and Repairers
23,7430,Precision Instrument and Equipment Repairers
23,7510,"Coin, Vending, and Amusement Machine Servicers and Repairers"
23,7540,Locksmiths and Safe Repairers
23,7550,Manufactured Building and Mobile Home Installers
23,7560,Riggers
23,7610,"Helpers--Installation, Maintenance, and Repair Workers"
