f,ict
19197,2
55093,2
31085,3
31087,3
47159,1
31081,3
31083,3
46037,3
47153,2
47151,3
31089,3
47157,4
47155,3
29181,2
26161,5
51027,1
19049,2
39099,5
19047,2
39097,3
19045,2
39095,7
19043,3
39093,8
19041,3
39091,2
28159,1
51029,2
54069,1
28151,1
28153,1
46031,3
28155,1
28157,1
38023,2
48379,1
29189,2
17023,4
48049,1
54067,1
48373,1
51730,3
51735,2
48371,2
48377,1
22045,3
22047,4
22041,3
05123,2
22043,3
22049,3
51640,3
56015,2
17101,3
56017,2
17103,4
56011,2
17105,5
56013,2
17107,4
17109,4
05045,3
56019,2
05043,1
05041,1
17145,3
17147,4
17141,4
26113,3
42091,2
26111,4
42093,7
26117,4
42095,7
26115,5
42097,7
49019,4
42099,7
26119,3
17143,6
20143,2
20141,2
20147,2
20145,2
20149,2
17079,4
17075,4
17077,3
17071,4
17073,4
51019,3
45029,3
45025,3
45027,3
45021,3
45023,3
29211,2
29213,2
29215,2
48299,4
29217,2
29219,2
48295,2
40031,2
48291,3
48293,4
51045,4
37049,1
13169,2
37043,1
13163,2
37041,1
13161,1
37047,1
13167,2
37045,2
13165,2
04027,6
54041,1
04025,6
34001,3
04023,7
54045,1
04021,8
54047,1
54049,1
38043,3
38041,3
38047,3
38045,3
38049,3
13017,1
13015,4
13013,5
30109,3
13011,3
30107,3
30105,3
40019,3
30103,3
30101,3
13019,1
18079,2
18071,2
18073,3
18075,3
18077,1
28033,2
28031,1
28037,1
28035,1
48189,2
28039,1
29039,2
37131,1
37137,1
37135,2
29031,2
29033,2
29035,2
29037,2
47099,2
47093,3
47091,1
47097,4
47095,2
40037,5
18105,2
16037,4
18107,3
18101,2
18103,3
18109,2
19027,2
51071,4
16033,3
29145,2
31079,3
29147,2
34023,3
30073,3
19023,2
30071,3
34027,3
31071,3
31073,3
29149,2
31075,3
30079,3
31077,3
47167,4
47165,4
19189,2
47163,1
47161,2
19183,2
19181,2
19187,2
47169,4
19185,2
31097,3
31095,3
31093,3
31091,3
31099,3
19059,3
55039,5
49021,4
19051,2
19053,2
19055,2
19057,2
28149,1
28143,1
28141,1
28147,1
28145,1
37113,1
22123,3
22121,4
22127,3
22125,4
02170,2
39135,4
39137,4
39131,2
39133,5
51720,2
39139,3
51017,2
22057,3
22055,2
22053,2
22051,5
22059,3
48271,1
51650,3
56007,2
05079,1
56005,2
56003,2
56001,2
05073,1
05071,3
05077,1
05075,2
56009,2
49027,4
48279,2
30087,3
49003,4
49001,4
42069,4
26109,2
49005,4
42065,6
26105,4
42067,7
26107,3
42061,6
26101,4
42063,4
26103,3
48359,2
40107,2
20179,2
20177,3
20175,2
20173,3
20171,2
17009,4
17001,4
17003,3
17005,4
17007,4
45059,3
45051,3
45053,3
40033,2
45055,4
45057,3
29203,2
29201,2
29207,2
29205,2
29209,2
13157,4
37055,1
13155,1
37057,2
01019,1
37051,2
13151,4
37053,1
01015,1
01017,1
01011,1
37059,1
13159,1
42115,4
33009,1
42111,6
42113,4
33003,1
48409,2
33001,1
33007,1
33005,1
55109,2
48175,1
48177,1
48171,1
38079,3
38077,3
38075,2
38073,3
48407,3
38071,3
20195,2
20197,2
20191,3
20193,2
40025,2
20199,2
13023,2
13021,2
13027,1
13025,2
01121,1
30111,3
01123,1
01125,1
01127,1
35028,4
18069,3
18063,2
18061,1
18067,3
18065,2
28009,1
28007,1
28005,1
28003,1
28001,1
29029,2
37129,1
29023,2
29021,1
29027,2
29025,2
18117,2
18115,1
18113,3
18111,3
18119,2
45077,3
51007,3
40123,3
48083,3
38095,3
29157,2
38097,3
29155,2
38091,3
30065,3
38093,3
30067,3
30069,3
38099,3
29159,2
47171,1
47173,3
39129,3
37115,2
47179,1
40125,4
51005,2
47027,1
47085,2
47087,1
45079,4
47083,2
47089,3
55141,3
19083,2
19081,2
37117,1
16059,4
42037,7
19085,2
16055,3
16057,3
16051,3
16053,4
51003,3
48375,2
51710,2
02164,2
51087,4
39127,2
51085,5
39125,3
51083,1
39123,4
51081,2
39121,3
51089,4
37111,2
22063,4
22061,3
22067,3
22065,3
22069,3
46111,3
46113,3
49009,4
46115,3
46117,3
48389,2
46119,3
48197,1
51660,2
56033,2
56031,2
56037,2
56035,2
56039,2
48195,2
49031,4
51049,3
48355,2
46029,3
31151,3
49039,4
42079,4
46025,3
42077,7
46027,3
42075,7
46021,3
42073,4
46023,3
42071,7
20169,3
28067,1
48349,3
20161,2
20163,2
20165,2
20167,3
51043,2
17019,4
48353,2
51590,2
17013,4
17011,4
17017,4
17015,4
48193,3
55035,2
17167,5
51047,3
48491,7
55033,2
26005,3
05065,2
26007,3
05067,2
26001,3
05061,1
26003,3
05063,2
02282,2
26009,4
05069,1
48505,1
45049,3
48501,2
48503,1
45043,3
45041,4
45047,3
45045,4
51750,4
48499,1
37021,2
13141,2
37023,2
13143,4
37025,2
13145,3
37027,2
01009,1
17113,5
13149,4
01005,1
01003,1
