puma_id,state,internet,mean_income,median_income,pumaname
603735,6,0.7275089,66839.67,46600,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)"
603736,6,0.8050871,77743.55,55000,Los Angeles County (Central)--Alhambra & South Pasadena Cities
603737,6,0.7192808,64498.13,48110,Los Angeles County (Central)--Monterey Park & Rosemead Cities
603738,6,0.5463616,46293.48,32600,Los Angeles County (Central)--El Monte & South El Monte Cities
603739,6,0.7505596,84766.96,65300,Los Angeles County (Southeast)--Whittier City & Hacienda Heights
603740,6,0.6342255,57577.03,42100,Los Angeles County (Central)--Pico Rivera & Montebello Cities
603741,6,0.5735547,43727.34,35600,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities"
603742,6,0.5555698,40831.7,28800,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park"
603743,6,0.5716112,51099.8,43200,Los Angeles County (Central)--East Los Angeles
603744,6,0.5500591,48718.39,28000,Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights)
603745,6,0.5238925,34331.81,26820,Los Angeles County (Central)--LA City (Southeast/East Vernon)
603746,6,0.5742824,38964.67,27600,Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park)
603747,6,0.6294947,50361.46,30400,Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills)
603748,6,0.8783294,114140.2,89000,Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities
603749,6,0.7124066,54351.05,40000,Los Angeles County (Central)--Inglewood City
603750,6,0.5742811,43516.01,30800,Los Angeles County (South Central)--LA City (South Central/Westmont)
603751,6,0.4713289,36153.77,30000,Los Angeles County (South Central)--LA City (South Central/Watts)
603752,6,0.6628401,54099.36,43950,Los Angeles County (South)--South Gate & Lynwood Cities
603753,6,0.7482211,74872.88,65000,Los Angeles County (South)--Downey City
603754,6,0.7562156,80380.52,68000,Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities
603755,6,0.6914176,72358.34,60900,Los Angeles County (Southeast)--Norwalk City
603756,6,0.6699945,59126.32,42800,Los Angeles County (Southeast)--Bellflower & Paramount Cities
603757,6,0.6503054,51730.61,41000,Los Angeles County (South Central)--Compton City & West Rancho Dominguez
603758,6,0.7255093,55405.78,44300,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens"
603759,6,0.7497983,60545.96,46000,Los Angeles County (South Central)--Hawthorne City
603760,6,0.9350787,144965.5,106700,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities"
603761,6,0.8876134,88687.66,74500,Los Angeles County (South Central)--Torrance City
603762,6,0.8051724,83998.48,74840,Los Angeles County (South Central)--Carson City
603763,6,0.6929067,67794.67,50400,Los Angeles County (South Central)--Long Beach City (North)
603764,6,0.7925438,88148.37,75000,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities"
603765,6,0.8972599,99670.16,71600,Los Angeles County (Southeast)--Long Beach City (East)
603766,6,0.6749985,46758.05,33000,Los Angeles County (South)--Long Beach City (Southwest & Port)
603767,6,0.6851982,64696.8,45000,Los Angeles County (South)--LA City (South/San Pedro)
603768,6,0.8565162,142045.3,92400,Los Angeles County (Southwest)--Palos Verdes Peninsula
603769,6,0.75326,59707.52,43500,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities
603900,6,0.6599026,55399.6,37900,Madera County--Madera City
604101,6,0.8289154,128783.3,84000,Marin County (North & West)--Novato & San Rafael (North) Cities
604102,6,0.9004074,151905.1,102000,"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities"
604701,6,0.6140468,55217.54,40000,Merced County (West & South)--Los Banos & Livingston Cities
604702,6,0.6978027,52142.09,37800,Merced County (Northeast)--Merced & Atwater Cities
