New Orleans,Louisiana,LA,United States of America,/cities/new-orleans,,Apr,2015,https://newsroom.uber.com/louisiana/uberx-and-uberxl-launch-in-new-orleans/,29.95,-90.07
Greater Maine,Maine,ME,United States of America,/cities/maine,,,,,44.52,-68.57
Portland,Maine,ME,United States of America,/cities/portland-me,,Oct,2014,https://newsroom.uber.com/maine/portland-your-uber-is-arriving-now/,43.66,-70.25
Baltimore,Maryland,MD,United States of America,/cities/baltimore,,Feb,2013,http://technical.ly/baltimore/2013/02/01/uber-baltimore-on-demand-car-service-officially-launches-will-be-available-all-day-super-bowl-sunday/,39.29,-76.61
Greater Maryland,Maryland,MD,United States of America,/cities/annapolis,,May,2014,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=0ahUKEwiA99n0vcjKAhUKcj4KHUGpCQoQFggjMAE&url=https%3A%2F%2Fnewsroom.uber.com%2Fannapolis%2Fannapolis-your-uber-is-arriving-now%2F&usg=AFQjCNEDl56THxct75Z6BmyHdYseDD4J7g&bvm=bv.112766941,d.cWw",38.97,-76.5
Boston,Massachusetts,MA,United States of America,/cities/boston,,Sep,2012,http://www.bizjournals.com/boston/blog/mass_roundup/2012/09/uber-taxi-in-boston.html,42.35,-71.05
Western MA,Massachusetts,MA,United States of America,/cities/springfield-ma,,Apr,2015,http://wwlp.com/2015/04/24/uber-service-available-in-springfield/,42.11,-72.55
Worcester,Massachusetts,MA,United States of America,/cities/worcester,,Oct,2014,https://newsroom.uber.com/boston/worcester-your-uber-is-arriving/,42.26,-71.8
Ann Arbor,Michigan,MI,United States of America,/cities/ann-arbor,,Apr,2014,http://www.mlive.com/news/ann-arbor/index.ssf/2014/04/app-driven_ride_service_uber_e.html,42.28,-83.75
Detroit,Michigan,MI,United States of America,/cities/detroit,,Oct,2013,https://newsroom.uber.com/detroit/partner_earnings/,42.33,-83.04
Flint,Michigan,MI,United States of America,/cities/flint,,Jul,2014,http://nbc25news.com/news/local/ride-sharing-service-uber-launches-in-flint?id=1074670,43.01,-83.68
Grand Rapids,Michigan,MI,United States of America,/cities/grand-rapids,,Jul,2014,http://www.mlive.com/news/grand-rapids/index.ssf/2014/07/uber_in_grand_rapids_rideshari.html,42.96,-85.66
Kalamazoo,Michigan,MI,United States of America,/cities/kalamazoo,,Jul,2014,http://www.usatoday.com/story/money/business/2014/07/25/uber-michigan/13174947/,42.29,-85.58
Lansing,Michigan,MI,United States of America,/cities/lansing,,Jul,2014,http://www.wilx.com/home/headlines/Uber-Launches-Ride-Share-Service-In-Lansing-Area-268528422.html,42.73,-84.55
Minneapolis - St. Paul,Minnesota,MN,United States of America,/cities/minneapolis,,Oct,2012,http://www.citypages.com/news/uber-the-car-service-for-techies-launches-in-msp-6560904,44.98,-93.27
Jackson,Mississippi,MS,United States of America,/cities/jackson,,Dec,2014,https://newsroom.uber.com/jackson-your-uberx-is-arriving-now/,32.29,-90.18
Oxford,Mississippi,MS,United States of America,/cities/oxford,,Aug,2014,http://thedmonline.com/ride-sharing-service-uber-debuts-in-oxford/,34.36,-89.51
Columbia,Missouri,MO,United States of America,/cities/columbia-mo,,Oct,2014,https://newsroom.uber.com/uber-launching-columbia-with-free-rides/,38.95,-92.33
Kansas City,Missouri,MO,United States of America,/cities/kansas-city,,May,2014,https://newsroom.uber.com/kc/kc-your-uber-has-arrived-and-its-free/,39.1,-94.58
St Louis,Missouri,MO,United States of America,/cities/st-louis,,Oct,2014,https://newsroom.uber.com/st-louis/st-louis-your-uber-is-arriving-now/,38.63,-90.2
Lincoln,Nebraska,NE,United States of America,/cities/lincoln,,Aug,2014,http://ubernebraska.com/lincoln/,40.8,-96.66
Omaha,Nebraska,NE,United States of America,/cities/omaha,,May,2014,https://newsroom.uber.com/omaha/omaha-your-uber-has-arrived/,41.25,-95.93
Las Vegas,Nevada,NV,United States of America,/cities/las-vegas,,Sept,2015,https://newsroom.uber.com/vegas/las-vegas-were-here/,36.17,-115.13
Reno,Nevada,NV,United States of America,/cities/reno,,Oct,2014,https://newsroom.uber.com/reno/uber-launches-in-the-biggest-little-city/,39.52,-119.81
New Hampshire,New Hampshire,NH,United States of America,/cities/manchester-nh,,Oct,2014,http://nhpr.org/post/ride-sharing-service-uber-comes-manchester,42.99,-71.46
New Jersey,New Jersey,NJ,United States of America,/cities/new-jersey,,Nov,2013,https://newsroom.uber.com/us-new-jersey/new-jersey-uberx-now-better-faster-and-cheaper-than-a-taxi/,40,-74.5
New Jersey (Shore),New Jersey,NJ,United States of America,/cities/new-jersey-shore,,May,2014,https://newsroom.uber.com/us-new-jersey/moving-the-jersey-shore/,40.08,-74.11
Albuquerque,New Mexico,NM,United States of America,/cities/albuquerque,,Apr,2014,http://www.bizjournals.com/albuquerque/news/2014/04/30/uber-follows-lyft-to-albuquerque.html,35.08,-106.65
Las Cruces,New Mexico,NM,United States of America,/cities/las-cruces,,Feb,2015,https://newsroom.uber.com/us-texas/las-cruces-your-uber-is-arriving-now/,32.31,-106.77
Santa Fe,New Mexico,NM,United States of America,/cities/santa-fe,,Nov,2014,http://www.abqjournal.com/498586/biz/uber-ride-sharing-coming-to-santa-fe.html,35.68,-105.93
Taos,New Mexico,NM,United States of America,/cities/taos,,,,,36.4,-105.57
Manhattan,Kansas,KS,United States of America,/cities/manhattan,,Apr,2015,https://newsroom.uber.com/kansas/uber-is-expanding-across-kansas/,39.19,-96.59
